cluster1	cluster2	cluster3	cluster4	cluster5	cluster6
ACKR3	ACTN1-AS1	ACOT1	ABHD14A-ACY1	ADGRF5	ADGRD1-AS1
ACO2	ACTR1B	ACOT2	ABHD18	ADGRG4	ADGRE1
ACOD1	ACTR3C	ACRBP	ABHD4	ADGRV1	ADGRE4P
ACOX1	ACTRT1	ACRV1	ABHD8	ADH7	ADGRF3
ACOXL	ADA	ACSL5	ABI1	ADORA3	ADGRL3
ACP5	ADAD2	ACTL8	ABI2	ADPGK-AS1	ADGRL3-AS1
ACPP	ADAM19	ACVR1	ABI3	ADRB1	ADIRF
ACSBG1	ADAM21P1	ACVR1B	ABLIM1	ADRB2	ADNP2
ACSF2	ADAMDEC1	ACVR1C	ABRACL	AFDN	AEBP2
ACSL4	ADAMTS14	ACVR2A	ABRAXAS1	AFF3	AFMID
ACSL6	ADAMTS15	ACVR2B	ABT1	AGAP11	AFTPH
ACSM6	ADAMTS17	ACYP1	ACAA2	AGAP2	AGAP10P
ACTG1P17	ADAMTS2	ADAD1	ACACA	AGBL4	AGAP4
ACTG1P20	ADAMTS9-AS1	ADAL	ACAD10	AGPAT4	AGAP5
ACTL7A	ADAMTSL1	ADAM12	ACAD8	AGPS	AGBL2
ACTN2	ADAP1	ADAM15	ACADM	AGT	AGO3
ACTR1A	ADARB2	ADAM17	ACAP1	AGTPBP1	AGRP
ACTR3BP5	ADCK2	ADAM20	ACAT2	AHDC1	AGTR1
ACTR6	ADCY1	ADAM21	ACBD4	AHI1	AGXT2
ACVRL1	ADCY3	ADAM7	ACBD6	AIRN	AHCTF1
ADAM18	ADCY5	ADAM8	ACHE	AKAP13	AHCTF1P1
ADAM23	ADCY9	ADAMTS18	ACIN1	AKAP2	AHR
ADAM9	ADD2	ADAMTS3	ACO1	AKR1C3	AIDA
ADAMTS12	ADIPOR2	ADAMTS9	ACOT13	ALDH3B2	AK6
ADAMTS13	ADM2	ADAMTSL3	ACOT6	ALG10B	AK7
ADAMTS20	ADORA2A-AS1	ADAR	ACOT7	ALK	AKAIN1
ADAMTSL2	ADPRHL1	ADARB1	ACOT8	ALOX12-AS1	AKAP14
ADAMTSL4	ADPRM	ADAT1	ACOT9	ALOX5AP	AKAP5
ADAMTSL4-AS1	ADRA1A	ADD1	ACOX2	ALPI	AKAP8
ADAP2	ADSSL1	ADD3	ACP1	AMPD1	AKR1B10
ADAT3	AGAP1	ADGB	ACP2	ANAPC2	AKR1B15
ADCK1	AGAP1-IT1	ADGRB2	ACSF3	ANAPC4	AKT1S1
ADGRA2	AGFG1	ADGRD1	ACSM1	ANKEF1	ALDH3B1
ADGRB3	AGFG2	ADGRG2	ACTA1	ANKIB1	ALDH8A1
ADGRF1	AGMAT	ADGRG6	ACTA2	ANKMY1	ALDOB
ADGRF2	AGPAT2	ADGRG7	ACTB	ANKMY2	ALG11
ADGRF4	AGPAT3	ADO	ACTC1	ANKRD13B	ALG13
ADGRG1	AGR2	ADPGK	ACTG1	ANKRD19P	ALKAL1
ADGRG3	AGTR2	ADRA2B	ACTL6A	ANKRD20A1	ALKBH8
ADH1B	AGXT	AFAP1	ACTL6B	ANKRD20A12P	ALLC
ADI1	AHCYL2	AFAP1-AS1	ACTN1	ANKRD20A3	ALOX12B
ADM5	AHRR	AFAP1L2	ACTN4	ANKRD20A3.1	ALPG
ADNP	AIFM1	AFF1	ACTR10	ANKRD20A3.2	ALPK2
ADORA2A	AIP	AFF2	ACTR3	ANKRD26P1	ALS2
ADORA2B	AJAP1	AFF4	ACTR3B	ANKRD27	ALYREF
ADRA1B	AK5	AGBL1	ACTR5	ANKRD30B	AMD1
ADRA2A	AKAP1	AGGF1	ACTR8	ANKRD53	AMDHD1
ADRM1	AKAP3	AGK	ACTRT3	ANKRD62	AMIGO2
ADTRP	AKAP8L	AGMO	ACVR2B-AS1	ANKRD62P1-PARP4P3	ANAPC1P1
AEN	AKNAD1	AGO2	ACY1	ANKS4B	ANGPTL1
AFG1L	AKR1B1	AHSA1	ACY3	AOX3P-AOX2P	ANKHD1
AFG3L2	AKR1E2	AHSA2P	ACYP2	AP2B1	ANKHD1-EIF4EBP3
AGAP12P	AKR7A2	AK9	ADA2	AP3B1	ANKRD12
AGAP3	AKR7L	AKAP11	ADAM11	AP3B2	ANKRD13C
AGAP7P	ALDH1A2	AKAP6	ADAM1A	APC2	ANKRD20A19P
AGBL3	ALDH1L1	AKIP1	ADAM33	APCDD1L	ANKRD20A4-ANKRD20A20P
AGER	ALG1L2	AKIRIN2	ADAM3B	APLN	ANKRD20A9P
AGL	ALG6	AKR1C4	ADAMTS1	APOBEC3G	ANKRD33
AGO4	ALKBH2	AKR1C8P	ADAMTS16	APOL5	ANKRD36
AGPAT4-IT1	ALKBH3	AKT1	ADAMTS19	AREL1	ANKRD36BP2
AGRN	ALKBH5	AKT2	ADAMTS19-AS1	ARHGAP12	ANKRD36C
AHCYL1	ALMS1P1	AKT3	ADAMTS4	ARHGAP21	ANKRD50
AHNAK	ALOX12P2	AKTIP	ADAMTS7	ARHGAP30	ANKRD54
AICDA	AMBP	ALAS1	ADAMTS8	ARHGAP35	ANKZF1
AIF1L	AMFR	ALDH5A1	ADAT2	ARHGDIA	ANXA10
AIFM2	AMIGO1	ALDH9A1	ADCK5	ARHGEF11	AP3S1
AIM2	AMN	ALKBH1	ADCY2	ARHGEF37	AP4B1-AS1
AIMP1	AMN1	ALMS1	ADCY6	ARHGEF38-IT1	APAF1
AIRE	AMOTL1	ALMS1-IT1	ADCY8	ARID5B	API5
AK2	AMPD2	ALOX15	ADCYAP1R1	ARL14	APOBEC1
AK4	AMZ1	ALOXE3	ADD3-AS1	ARL14EPL	APOBEC3H
AK8	ANAPC15	AMBRA1	ADGRB1	ARL4A	APOLD1
AKAP10	ANGPTL6	AMH	ADGRE2	ARL5B	APTR
AKAP12	ANKAR	AMMECR1L	ADGRE5	ARMC3	AQP6
AKAP4	ANKH	AMOT	ADGRG5	ARMC4P1	AQP7P3
AKAP9	ANKRD18DP	AMPD3	ADGRL1	ARMCX5-GPRASP2	AQP7P3.1
AKR7A3	ANKRD2	AMPH	ADGRL2	ARMH4	ARF3
ALAD	ANKRD22	ANAPC1	ADGRL4	ARNTL2-AS1	ARF4-AS1
ALAS2	ANKRD24	ANAPC10	ADH4	ASAH2	ARF6
ALDH16A1	ANKRD34C	ANGPT2	ADH5	ASAP2	ARGFX
ALDH1A1	ANKRD40CL	ANGPTL4	ADH6	ASB11	ARGLU1
ALDH4A1	ANKRD42	ANGPTL5	ADHFE1	ASB15	ARHGAP11A
ALDH6A1	ANKRD49	ANK3	ADIPOQ	ASB4	ARHGAP11B
ALG14	ANKRD60	ANKRA2	ADIPOR1	ASCC3	ARHGAP25
ALG1L9P	ANKRD63	ANKRD10	ADK	ASCL1	ARHGAP31-AS1
ALG2	ANKRD7	ANKRD13A	ADM	ASCL2	ARHGAP5
ALKBH7	ANKS1A	ANKRD17	ADNP-AS1	ATAD2B	ARHGAP9
ALOX12	ANKS1B	ANKRD20A4	ADORA1	ATF7-NPFF	ARHGEF38
ALOX15B	ANO10	ANKRD26	ADPRH	ATF7IP	ARID4B
ALOX5	ANO3	ANKRD30A	ADPRHL2	ATL2	ARL2-SNX15
ALPK1	ANO7	ANKRD30BL	ADRA1D	ATM	ARL6IP1
ALPL	ANO8	ANKRD31	ADRA2C	ATP2A1	ARL8B
ALPP	ANTXRLP1	ANKRD34B	ADRB3	ATP2A2	ARL9
AMBN	ANXA13	ANKRD36BP1	ADSL	ATP2B3	ARMC5
AMER2	AOAH	ANKRD37	ADSS	ATP2C1	ARMH3
AMHR2	AOPEP	ANKRD44	AEBP1	ATP6V0A1	ARPP19
AMMECR1	AP1B1P1	ANKRD45	AFAP1L1	ATRNL1	ARRDC1-AS1
AMOTL2	AP1G1	ANKRD46	AFDN-DT	ATRX	ARRDC2
ANGEL1	AP1M1	ANKRD6	AFF1-AS1	ATXN7	ARSD
ANGPT1	AP1S3	ANLN	AFG3L1P	ATXN7L1	ARSK
ANGPT4	AP2A2	ANO1	AFP	ATXN7L3B	ART1
ANGPTL3	AP4B1	ANO4	AGA	AXDND1	ART3
ANKDD1B	AP5S1	ANO5	AGAP2-AS1	AZGP1	ASAH2B
ANKFN1	APBA2	ANO6	AGAP6	BAAT	ASB7
ANKFY1	APCDD1L-DT	ANXA2P3	AGAP9	BAIAP2-DT	ASB9P1
ANKLE1	APOC4	ANXA7	AGAP9.1	BBS10	ASDURF
ANKLE2	APOC4-APOC2	AOC2	AGBL5	BBS4	ASH1L
ANKRD1	APOH	AOX1	AGO1	BBS5	ASH1L-AS1
ANKRD11	APOO	AP1M2	AGPAT1	BCCIP	ASNSP1
ANKRD20A11P	APOPT1	AP3M2	AGPAT5	BCL2L15	ASTE1
ANKRD20A5P	ARFGEF3	APBA1	AGTRAP	BCL6	ASXL2
ANKRD20A8P	ARG2	APBB2	AHCY	BCLAF1	ATF1
ANKRD23	ARHGAP22	APC	AHNAK2	BDNF-AS	ATF7
ANKRD26P3	ARHGAP40	APH1A	AHSG	BICRAL	ATG101
ANKRD28	ARHGAP6	APLP1	AHSP	BIRC6	ATG12
ANKRD30BP2	ARHGDIG	APPBP2	AIF1	BIRC8	ATG14
ANKRD55	ARHGEF33	APPL2	AIFM3	BLM	ATG16L1
ANKRD61	ARID1B	AQR	AIG1	BMP10	ATG2A
ANKRD9	ARID3B	ARAP2	AIMP2	BMP3	ATG9A
ANO9	ARID5A	ARCN1	AIPL1	BNIPL	ATP10A
ANP32A-IT1	ARL14EP	ARFGAP3	AJUBA	BOD1L1	ATP11AUN
ANP32AP1	ARL2BP	ARFGEF2	AK1	BPIFB4	ATP1B2
ANP32B	ARL4D	ARFIP1	AK3	BPTF	ATP2B1-AS1
ANPEP	ARL6	ARHGAP10	AKAP7	BRD2	ATP5IF1
ANXA11	ARMC12	ARHGAP15	AKIRIN1	BRD4	ATP5MF-PTCD1
ANXA2	ARMH2	ARHGAP17	AKNA	BRD7	ATP5MPL
ANXA2P2	ARNT	ARHGAP18	AKR1A1	BRD7P3	ATP8A2
ANXA2R	ARNT2	ARHGAP19	AKR1C1	BRINP2	ATP8B1
ANXA8L1	ARPC1B	ARHGAP19-SLIT1	AKR1C2	BRINP3	ATP8B3
AOC3	ARPIN	ARHGAP20	AKR1D1	BRIP1	ATP8B5P
AP1AR	ARRDC1	ARHGAP26	ALB	BRWD1	ATP9B
AP1B1	ARSA	ARHGAP26-AS1	ALCAM	BRWD1-AS1	ATRIP
AP2S1	ARSD-AS1	ARHGAP29	ALDH18A1	BTN3A2	ATXN3
AP3D1	ARSF	ARHGAP32	ALDH1A3	BTRC	AVPI1
AP4E1	ARSJ	ARHGAP33	ALDH1B1	BUB1	AVPR1B
AP5B1	ART5	ARHGAP39	ALDH1L2	C11orf44	B4GALNT1
AP5M1	ASB14	ARHGAP44	ALDH2	C11orf74	B4GALNT2
AP5Z1	ASB18	ARHGAP45	ALDH3A1	C11orf88	BAG4
APBB1IP	ASB2	ARHGEF12	ALDH3A2	C11orf91	BAG5
APBB3	ASB3	ARHGEF16	ALDH7A1	C11orf96	BAGE
APLNR	ASCC2	ARHGEF26	ALDOA	C12orf42	BAGE4
APLP2	ASF1A	ARHGEF26-AS1	ALDOC	C12orf50	BAGE5
APOA1	ASGR1	ARHGEF28	ALG1	C12orf56	BAIAP2L2
APOA1-AS	ASGR2	ARHGEF3	ALG10	C13orf42	BARX1
APOA2	ASIC1	ARHGEF6	ALG12	C16orf90	BATF3
APOA4	ASIC2	ARHGEF7	ALG1L	C17orf100	BBIP1
APOA5	ASPHD2	ARID1A	ALG3	C19orf47	BCDIN3D
APOB	ASTN2	ARID2	ALG5	C19orf54	BCDIN3D-AS1
APOBEC2	ASXL3	ARID4A	ALG8	C1orf167	BCL2L11
APOBEC3D	ATAD3C	ARIH1	ALG9	C1QTNF1	BCO2
APOBEC3F	ATE1-AS1	ARL1	ALKAL2	C1RL-AS1	BCOR
APOBEC4	ATG4C	ARL13B	ALKBH3-AS1	C20orf197	BECN2
APOC1	ATG7	ARL4C	ALKBH4	C20orf203	BIK
APOC1P1	ATMIN	ARLNC1	ALKBH6	C21orf62	BIRC3
APOC2	ATP13A5	ARMC1	ALOX15P1	C22orf24	BLOC1S6
APOC3	ATP1B1	ARMC2	ALPK3	C2CD4B	BLZF1
APOD	ATP2A3	ARMC8	ALX1	C2CD6	BMP4
APOE	ATP6V0D1	ARMC9	ALX3	C2orf83	BMP5
APOF	ATP6V1C1	ARMH1	AMACR	C5orf38	BMS1P20
APOL1	ATP6V1D	ARMS2	AMDHD2	C5orf51	BMS1P21
APOL3	ATP6V1E1	ARNTL	AMER1	C5orf60	BNIP2
APOL6	ATPAF2	ARPC4-TTLL3	AMIGO3	C6orf201	BOLA2B
APOOL	AUNIP	ARPP21	AMT	C7orf33	BOLA2B.1
APPL1	AUTS2	ARSG	AMY2B	C7orf77	BOLL
AQP1	AVEN	ARV1	AMZ2	C8orf37	BORA
AQP11	AVIL	ASAH1	AMZ2P1	C9orf152	BORCS6
AQP2	B3GALNT2	ASAP1	ANAPC11	C9orf163	BRAP
AQP3	B3GALT1	ASAP1-IT2	ANAPC13	C9orf72	BRDT
AQP7	B3GNT9	ASB5	ANAPC16	C9orf92	BRIX1
AQP7P1	B3GNTL1	ASB8	ANAPC5	CACNG8	BRWD3
AQP8	B4GALT1	ASF1B	ANAPC7	CADPS2	BTAF1
AQP9	B4GALT1-AS1	ASPH	ANG	CALCOCO1	BTBD7
ARAF	B9D1	ASPM	ANGEL2	CALCOCO2	BTG1
ARF1	B9D2	ASTL	ANGPTL2	CALHM2	BTK
ARFGAP1	BAALC	ASXL1	ANK1	CALHM5	BTLA
ARFGAP2	BAHCC1	ASZ1	ANK2	CALU	BTN1A1
ARFGEF1	BAIAP2L1	ATAD1	ANKDD1A	CAMK2B	BTNL3
ARGFXP2	BAIAP3	ATAD2	ANKRD13D	CAPNS2	BUB3
ARHGAP24	BANP	ATAD5	ANKRD16	CAPRIN1	BUD31
ARHGAP27P1	BARHL2	ATE1	ANKRD18A	CAPS	BVES-AS1
ARHGAP27P1-BPTFP1-KPNA2P3	BARX2	ATF2	ANKRD18B	CARD6	BYSL
ARHGAP36	BBOX1-AS1	ATF6	ANKRD18CP	CARNMT1-AS1	BZW1
ARHGAP42	BBS12	ATF7IP2	ANKRD29	CASC15	C10orf105
ARHGAP8	BCAP29	ATG2B	ANKRD33B	CASC23	C11orf45
ARHGEF15	BCAR3	ATG4A	ANKRD36B	CASC9	C11orf71
ARHGEF18	BCAT2	ATL3	ANKRD39	CASKIN2	C11orf72
ARID3A	BCL2L13	ATP10B	ANKRD40	CASP8	C11orf98
ARIH2	BCO1	ATP10D	ANKRD52	CASZ1	C12orf43
ARL10	BDH1	ATP11B	ANKRD65	CATIP-AS1	C12orf49
ARL15	BDH2	ATP13A3	ANKS3	CBLL2	C12orf60
ARL8A	BDNF	ATP13A4	ANKS6	CC2D2B	C14orf119
ARMC7	BEND7	ATP1A1	ANO2	CCDC14	C15orf41
ARMT1	BFSP2	ATP2B1	ANOS1	CCDC141	C15orf65
ARPIN-AP3S2	BFSP2-AS1	ATP2B2	ANP32A	CCDC144NL	C16orf91
ARRB1	BHLHE22	ATP2B4	ANP32E	CCDC149	C17orf67
ARRDC3	BICDL1	ATP2C2	ANTXR1	CCDC150	C17orf80
ARRDC3-AS1	BIN3	ATP6AP1L	ANTXR2	CCDC170	C17orf98
ARRDC4	BLID	ATP6V1B2	ANXA1	CCDC178	C18orf21
ARSE	BLNK	ATP6V1G2-DDX39B	ANXA3	CCDC18	C18orf25
ART4	BLOC1S3	ATP7A	ANXA4	CCDC192	C19orf18
ARVCF	BOK-AS1	ATP8A1	ANXA5	CCDC197	C19orf53
ARX	BOLA1	ATP8B4	ANXA6	CCDC43	C19orf73
ASAP1-IT1	BORCS5	ATP9A	ANXA9	CCDC83	C1D
ASB16	BRD8	ATR	AP1G2	CCDC85C	C1GALT1
ASB6	BREA2	ATRN	AP1S1	CCL2	C1GALT1C1L
ASH2L	BRMS1	ATXN1	AP1S2	CCNA2	C1orf100
ASIC3	BRSK1	ATXN1L	AP2A1	CCNB1	C1orf112
ASIC4	BRWD1-AS2	ATXN2	AP2M1	CCNI	C1orf140
ASNSD1	BSCL2	ATXN2L	AP3M1	CCNK	C1orf141
ASPA	BSDC1	ATXN7L2	AP3S2	CCP110	C1orf162
ASPG	BTBD11	AURKA	AP4M1	CCR6	C1orf194
ASPN	BTBD18	AURKC	AP4S1	CD163L1	C1orf232
ASPRV1	BTBD8	AZI2	APBA3	CD180	C1orf52
ASRGL1	BTNL9	AZIN2	APBB1	CD1A	C1QL3
ATAD3A	C10orf25	B3GALNT1	APCDD1	CD209	C21orf62-AS1
ATAD3B	C10orf82	B3GAT2	APEH	CD226	C21orf91
ATF3	C10orf91	B3GNT2	APELA	CD34	C2CD2L
ATF5	C11orf16	B3GNT3	APEX1	CD3EAP	C2orf16
ATF6B	C11orf21	B4GALNT3	APEX2	CD81-AS1	C2orf48
ATG10	C11orf24	B4GALT6	APH1B	CDC14A	C2orf49
ATG3	C11orf65	BACH1	APIP	CDC27	C2orf69
ATG5	C11orf80	BACH2	APLF	CDCA7L	C3
ATG9B	C11orf97	BAIAP2	APMAP	CDH12	C3AR1
ATP11A	C12orf29	BANK1	APOBEC3A_B	CDH4	C4orf46
ATP11A-AS1	C12orf45	BARD1	APOBEC3B	CDK12	C5orf66-AS1
ATP11C	C12orf74	BATF2	APOBEC3B-AS1	CDK15	C5orf67
ATP12A	C14orf39	BAZ1A	APOBEC3C	CDK5R2	C6orf120
ATP1A1-AS1	C15orf39	BAZ1B	APOL2	CDKAL1	C6orf226
ATP1A4	C15orf62	BAZ2A	APOM	CDKL2	C6orf48
ATP1B4	C16orf58	BBOF1	APP	CDKN1A	C6orf58
ATP2B2-IT2	C16orf70	BBS9	APRT	CDKN2B	C8orf33
ATP2C2-AS1	C16orf71	BCAR4	APTX	CDR1	C8orf89
ATP4A	C16orf72	BCAS1	AQP4	CDRT1	C9
ATP5F1C	C16orf87	BCAS3	AQP5	CEACAM5	C9orf135-DT
ATP5F1D	C16orf95	BCL10	AR	CEBPA-DT	C9orf64
ATP5MC3	C17orf112	BCL11B	ARAP1	CENPI	C9orf66
ATP5MGL	C17orf51	BCL2L10	ARAP3	CENPS-CORT	C9orf85
ATP5PB	C17orf53	BCL6B	ARC	CEP112	CA1
ATP5PO	C18orf32	BCL7A	ARF4	CEP126	CA5B
ATP6AP1	C19orf38	BCLAF3	ARF5	CEP128	CA6
ATP6V0A4	C19orf57	BCORL1	ARFIP2	CEP170	CAB39
ATP6V0B	C19orf66	BEAN1	ARFRP1	CEP170B	CAB39L
ATP6V0C	C19orf71	BECN1	ARHGAP1	CEP290	CABP1
ATP6V0D2	C1orf146	BFAR	ARHGAP11A-SCG5	CEP55	CABP5
ATP6V0E1	C1orf21	BHLHB9	ARHGAP23	CEP63	CABP7
ATP6V0E2-AS1	C1orf50	BHLHE40	ARHGAP27	CEP83-DT	CACNA1G
ATP6V1A	C1orf53	BHLHE40-AS1	ARHGAP28	CEP97	CACNA1H
ATP6V1B1	C1orf56	BHMT2	ARHGAP31	CERS3	CACNG3
ATP6V1B1-AS1	C1orf74	BICC1	ARHGAP4	CERS6	CACNG7
ATP6V1F	C1QTNF4	BICRA	ARHGAP5-AS1	CERS6-AS1	CACTIN
ATP6V1FNB	C1QTNF6	BIRC2	ARHGDIB	CETP	CADM2-AS2
ATP6V1H	C1QTNF8	BLCAP	ARHGEF1	CFAP44	CAGE1
ATP7B	C21orf59-TCP10L	BLK	ARHGEF10	CFAP45	CAMK2N1
ATP8B2	C22orf23	BLOC1S5-TXNDC5	ARHGEF10L	CFAP57	CARF
ATXN7L3	C22orf34	BMP15	ARHGEF17	CFAP58-DT	CASC11
AURKAIP1	C2orf42	BMP2K	ARHGEF19	CFAP69	CASQ2
AVPR2	C2orf50	BMP6	ARHGEF2	CFLAR-AS1	CASTOR2
AXIN1	C2orf68	BMPER	ARHGEF34P	CGGBP1	CBLN1
AXIN2	C2orf76	BMPR1A	ARHGEF35	CHAF1A	CBWD3
B3GALT2	C2orf81	BMPR1B	ARHGEF39	CHD2	CBWD5
B3GALT6	C2orf88	BMPR1B-DT	ARHGEF4	CHD6	CBWD5.1
B3GLCT	C2orf92	BMPR2	ARHGEF40	CHMP4B	CBWD5.2
B3GNT5	C3orf14	BMS1P14	ARHGEF5	CHRM3	CBX3
B3GNT7	C3orf67	BMT2	ARHGEF9	CHRM5	CBX4
B4GALT4	C3orf70	BNC1	ARIH2OS	CHRNA3	CBX5
B4GALT5	C3orf80	BNIP1	ARL11	CHRNB2	CCAR2
BACE1	C3orf84	BNIP3L	ARL16	CHRNB4	CCDC110
BACE1-AS	C4orf17	BOD1	ARL17B	CHST4	CCDC113
BAG3	C4orf45	BPGM	ARL17B.1	CIRBP-AS1	CCDC12
BAG6	C5	BPNT1	ARL17B.2	CKAP2	CCDC122
BAGE2	C5AR1	BRCA1	ARL17B.3	CLASRP	CCDC126
BAHD1	C5AR2	BRCA2	ARL2	CLCA4	CCDC136
BAK1	C5orf49	BRD1	ARL3	CLCN1	CCDC142
BAMBI	C5orf58	BRI3	ARL5A	CLCN2	CCDC144A
BAP1	C5orf63	BRI3BP	ARL6IP4	CLDN16	CCDC168
BASP1	C6orf203	BRINP1	ARL6IP5	CLDN22	CCDC17
BASP1-AS1	C6orf89	BRPF1	ARL6IP6	CLDN8	CCDC174
BBC3	C7orf25	BTBD10	ARMC10	CLDND1	CCDC190
BCAM	C8orf37-AS1	BTBD2	ARMC4	CLDND2	CCDC30
BCAT1	C8orf44-SGK3	BTBD9	ARMC6	CLEC17A	CCDC34
BCL2A1	C8orf48	BTG4	ARMCX1	CLEC3A	CCDC36
BCL2L2	C8orf76	BUB1B	ARMCX2	CLEC5A	CCDC38
BCL2L2-PABPN1	C9orf43	BUD13	ARMCX3	CLIP1	CCDC40
BCL3	C9orf57	BVES	ARMCX4	CLIP3	CCDC62
BCL9L	CA10	C10orf120	ARMCX5	CLPX	CCDC80
BCRP3	CA5A	C10orf126	ARMCX6	CLSPN	CCDC82
BCS1L	CA5BP1	C10orf143	ARNTL2	CLUAP1	CCDC85A
BCYRN1	CABLES2	C10orf71	ARPC1A	CMAHP	CCDC9
BDKRB2	CACNA1C	C10orf90	ARPC2	CNDP1	CCER1
BDP1	CACNA1C-AS1	C10orf95	ARPC3	CNGA4	CCER2
BEAN1-AS1	CACNA1C-AS2	C11orf53	ARPC4	CNGB3	CCK
BEGAIN	CACNA1E	C12orf4	ARPC5	CNKSR2	CCL15
BEND3	CACNA1I	C12orf40	ARPC5L	CNTLN	CCL15-CCL14
BEST3	CACNA2D1	C12orf65	ARRB2	CNTRL	CCL16
BEST4	CACNB2	C12orf66	ARSB	COL15A1	CCL27
BET1L	CACNB4	C12orf77	ARSI	COL17A1	CCL4
BGLAP	CALB1	C14orf178	ARTN	COL1A2-AS1	CCNA1
BHLHE23	CALHM4	C14orf28	AS3MT	COL5A1	CCNE1
BHLHE41	CALHM6	C15orf32	ASAP3	COMMD6	CCNE2
BHMG1	CALML4	C15orf48	ASB1	COMP	CCNQ
BHMT	CALN1	C15orf61	ASB10	COP1	CCNT1
BICD1	CALR3	C16orf46	ASB13	COPB2	CCR10
BICD2	CAPN12	C16orf74	ASB16-AS1	COPG1	CCSAP
BIN1	CAPN13	C16orf86	ASB9	COPS2	CCT6P3
BIN2	CAPN14	C17orf107	ASCC1	COPS7B	CD164L2
BLACE	CAPN3	C17orf99	ASL	COX10	CD200R1
BMI1	CARD8	C18orf63	ASNA1	COX4I2	CD200R1L
BMP1	CARNS1	C18orf65	ASNS	CPD	CD3D
BMP2	CASC18	C19orf44	ASPHD1	CPEB2	CD3G
BMP8A	CASC2	C19orf67	ASPSCR1	CPNE2	CD86
BNIP3	CASC20	C1orf127	ASS1	CRB1	CD96
BOD1L2	CASP17P	C1orf131	ASTN1	CRBN	CDAN1
BOLA2	CASP7	C1orf174	ATAT1	CRISP3	CDC14B
BOLA2.1	CASP9	C1orf210	ATCAY	CRNKL1	CDC23
BOP1	CASR	C1orf226	ATF4	CRNN	CDC25A
BORCS8-MEF2B	CASTOR3	C1QL1	ATG13	CRSP8P	CDC26
BPI	CATIP	C20orf194	ATG16L2	CRTC2	CDC42
BPIFA2	CATSPER1	C20orf96	ATG4B	CRY2	CDC6
BPIFA3	CATSPER2P1	C2CD3	ATG4D	CRYBA1	CDC73
BRAF	CATSPERB	C2CD5	ATIC	CRYZL2P	CDH10
BRAT1	CATSPERG	C2orf15	ATL1	CSK	CDH24
BRCC3	CBLN2	C2orf40	ATN1	CSMD2-AS1	CDH9
BRD3	CBLN4	C2orf73	ATOH7	CSNK1G3	CDHR3
BRMS1L	CBR3-AS1	C3orf33	ATOH8	CSPP1	CDIPTOSP
BROX	CBX8	C3orf38	ATOX1	CSRP3	CDK1
BRPF3	CCDC103	C3orf49	ATP13A1	CT66	CDK11A
BSN	CCDC106	C3orf56	ATP13A2	CTAGE1	CDK11B
BSND	CCDC120	C3orf86	ATP13A4-AS1	CTAGE6	CDK5R1
