human_gene_name,mouse_gene_name,zou_annotation,zygote,twoC,fourC,eightC,ICM,E8,L4i,WT_mESC,PARPKO_mESC
PLAC8,Plac8,ICM,-0.518486925,-0.518486925,-0.326179035,-0.436358083,1.799510968,-0.860259059,0.860259059,-0.760496072,0.760496072
GLIPR2,Glipr2,ICM,-0.46686166,-0.487812545,-0.489306959,-0.433233345,1.87721451,-0.856043752,0.856043752,-0.850038867,0.850038867
P4HB,P4hb,ICM,-0.571272056,-0.442868472,-0.453949495,-0.35776446,1.825854482,-0.850682985,0.850682985,-0.769023484,0.769023484
LDHA,Ldha,ICM,-0.789345457,-0.762898233,-0.744951822,0.940668846,1.356526666,-0.847295702,0.847295702,0.906543146,-0.906543146
ISOC2,Isoc2a,ICM,-0.452310441,-0.456129563,-0.527597526,-0.451630185,1.887667715,-0.846839597,0.846839597,0.798160647,-0.798160647
MRPS12,Mrps12,ICM,-0.518921671,-0.515660951,-0.538664435,-0.312761438,1.886008495,-0.844232056,0.844232056,0.748139995,-0.748139995
DDX27,Ddx27,ICM,-0.921326482,-0.614815227,-0.583057657,0.632376463,1.486822904,-0.843867217,0.843867217,0.733890244,-0.733890244
THOC5,Thoc5,ICM,-0.810064318,-0.836352559,-0.22137587,0.308195729,1.559597018,-0.843796402,0.843796402,-0.829118067,0.829118067
FABP5,Fabp5,ICM,-0.473759418,-0.474925072,-0.456789074,-0.469592915,1.875066479,-0.843048981,0.843048981,-0.800132492,0.800132492
LAMTOR2,Lamtor2,ICM,-0.533144143,-0.433470253,-0.092996116,-0.690013814,1.749624325,-0.842785618,0.842785618,0.686838496,-0.686838496
KAT6B,Kat6b,ICM,-0.534248679,-0.614505638,-0.203572612,-0.428666315,1.780993245,-0.841604303,0.841604303,0.85678345,-0.85678345
TPI1,Tpi1,ICM,-0.460997769,-0.458558757,-0.450457437,-0.416743897,1.78675786,-0.841218871,0.841218871,0.867500816,-0.867500816
PDGFRA,Pdgfra,ICM,-0.460066197,-0.460066197,-0.460066197,-0.456385537,1.836584126,-0.836460151,0.836460151,-0.814598102,0.814598102
IFT172,Ift172,ICM,-0.485378968,-0.655141611,-0.507039886,-0.13651808,1.784078545,-0.834956797,0.834956797,-0.841810823,0.841810823
EPB41L1,Epb41l1,ICM,-0.211362289,-0.632925901,-0.59834813,-0.037949622,1.480585942,-0.831195312,0.831195312,0.866337343,-0.866337343
TRIM2,Trim2,ICM,-0.477760662,-0.477760662,-0.461537109,-0.477760662,1.894819095,-0.829227514,0.829227514,-0.79425702,0.79425702
PGM2,Pgm2,ICM,-0.395876562,-0.343782624,-0.366962476,-0.707752369,1.814374032,-0.827645911,0.827645911,0.743068938,-0.743068938
ATP6AP1,Atp6ap1,ICM,-0.48463615,-0.474184626,-0.484618115,-0.449278175,1.892717066,-0.82171588,0.82171588,0.906676458,-0.906676458
DEPTOR,Deptor,ICM,-0.477047875,-0.382606789,-0.511672682,-0.351680157,1.723007503,-0.821035309,0.821035309,0.880997452,-0.880997452
VPS11,Vps11,ICM,-0.500709785,-0.520523991,-0.711220444,0.675324462,1.057129758,-0.81984146,0.81984146,-0.675016509,0.675016509
REEP1,Reep1,ICM,-0.351263944,-0.379118415,-0.449465175,-0.573362975,1.753210509,-0.819078427,0.819078427,0.827001054,-0.827001054
CHCHD4,AU015836,ICM,-0.485768618,-0.474576989,-0.47016603,-0.236287062,1.666798699,-0.815844966,0.815844966,0.823967821,-0.823967821
CA2,Car2,ICM,-0.499538583,-0.498982814,-0.47335107,-0.393469856,1.865342323,-0.810768886,0.810768886,-0.810193262,0.810193262
MDM2,Mdm2,ICM,-0.809153189,-0.913647642,-0.105862065,0.675524005,1.15313889,-0.806446622,0.806446622,-0.742896919,0.742896919
ASH2L,Ash2l,ICM,-0.563492441,-0.550076603,-0.138762512,-0.566609319,1.818940875,-0.80158284,0.80158284,-0.902329882,0.902329882
BRCC3,Brcc3,ICM,-0.292299339,-0.61327687,-0.116184294,-0.566203364,1.587963866,-0.799701633,0.799701633,0.903849932,-0.903849932
ZBTB7B,Zbtb7b,ICM,-0.727965926,-0.296187052,-0.062858216,-0.427745525,1.51475672,-0.796982466,0.796982466,0.889491178,-0.889491178
SOD2,Sod2,ICM,-0.514888312,-0.625655386,-0.178598487,-0.470987844,1.790130029,-0.796160355,0.796160355,0.903347784,-0.903347784
ARRDC3,Arrdc3,ICM,-0.962962799,-1.007029437,0.452592003,0.149785398,1.367614834,-0.792248779,0.792248779,-0.457926366,0.457926366
HDAC6,Hdac6,ICM,-0.702630058,-0.382837531,-0.648082465,0.023223351,1.710326702,-0.790920302,0.790920302,0.904580174,-0.904580174
GSTP1,Gstp2,ICM,-0.471208277,-0.467683992,-0.469030672,-0.461330093,1.869253035,-0.786782454,0.786782454,0.644520072,-0.644520072
UBE2M,Ube2m,ICM,-0.700851745,-0.6714855,-0.705693153,0.378468031,1.699562367,-0.786380665,0.786380665,0.879407792,-0.879407792
ARF1,Arf1,ICM,-0.284936948,-0.399946305,-0.437626579,-0.65087496,1.773384792,-0.786315018,0.786315018,-0.685024912,0.685024912
PTGS2,Ptgs2,ICM,-0.471023443,-0.471023443,-0.471023443,0.58129707,0.831773259,-0.785864842,0.785864842,-0.768836563,0.768836563
ATP5PB,Atp5pb,ICM,-0.569122616,-0.581764131,-0.541712683,-0.175492605,1.868092035,-0.785340908,0.785340908,0.524685269,-0.524685269
RAB15,Rab15,ICM,-0.393443585,-0.427678835,-0.542511961,-0.518833377,1.882467759,-0.785330491,0.785330491,-0.853421644,0.853421644
PFKL,Pfkl,ICM,-0.476067877,-0.236579169,-0.514886144,-0.425958351,1.653491541,-0.784538646,0.784538646,-0.726126293,0.726126293
KPNB1,Kpnb1,ICM,-0.835201001,-0.737164971,-0.454581864,0.346840488,1.680107348,-0.781647991,0.781647991,-0.742797192,0.742797192
NDUFA9,Ndufa9,ICM,-0.488038795,-0.558599538,-0.546815118,-0.266455022,1.859908474,-0.775205527,0.775205527,0.795254278,-0.795254278
RASGEF1B,Rasgef1b,ICM,0.855506645,0.122980182,-0.266111994,-1.176479888,0.464105055,-0.774713174,0.774713174,-0.862353523,0.862353523
ATP6V0A4,Atp6v0a4,ICM,-0.677646284,-0.759417053,0.240907456,-0.300593871,1.496749753,-0.773770503,0.773770503,0.837639024,-0.837639024
NDC1,Ndc1,ICM,0.281174001,-0.197608306,-0.714753052,-0.910708641,1.541895999,-0.769576292,0.769576292,0.84410484,-0.84410484
ADRM1,Adrm1,ICM,-0.388618426,-0.226887244,-0.561900746,-0.635441044,1.812847462,-0.768742867,0.768742867,0.532311788,-0.532311788
KLK13,Klk13,ICM,-0.44410196,-0.44410196,-0.44410196,-0.424532028,1.756837907,-0.765569205,0.765569205,0.772858583,-0.772858583
RAD23B,Rad23b,ICM,-0.326979282,-0.685087138,-0.470867055,-0.328362042,1.811295518,-0.76251578,0.76251578,0.478199713,-0.478199713
PFKP,Pfkp,ICM,-0.343458022,-0.230190667,0.452192146,-1.098728552,1.220185095,-0.761708191,0.761708191,0.863676536,-0.863676536
SHB,Shb,ICM,-0.457859415,-0.489941929,-0.549063631,-0.259730278,1.756595253,-0.759220077,0.759220077,-0.864114899,0.864114899
UQCR11,Uqcr11,ICM,-0.481639893,-0.459771117,-0.471226373,-0.463801205,1.876438588,-0.751197285,0.751197285,0.895730532,-0.895730532
NDUFB10,Ndufb10,ICM,-0.837317982,-0.774653871,-0.498091025,0.597478834,1.512584045,-0.749035796,0.749035796,0.385896564,-0.385896564
AK2,Ak2,ICM,-0.485961191,-0.636706403,-0.557825391,-0.139494215,1.8199872,-0.748359345,0.748359345,0.708478299,-0.708478299
CNR1,Cnr1,ICM,-0.62133891,-0.62133891,0.112710068,0.608531957,0.521435794,-0.748099745,0.748099745,-0.888488708,0.888488708
CD2BP2,Cd2bp2,ICM,-0.679327219,-0.649953211,-0.724227787,0.811078056,1.24243016,-0.746453664,0.746453664,0.799661174,-0.799661174
ZNF750,Zfp750,ICM,-0.403319101,-0.403319101,-0.394492881,-0.403319101,1.604450183,-0.745734257,0.745734257,-0.882733628,0.882733628
COX6A1,Cox6a1,ICM,-0.824790178,-0.722824846,-0.669374895,0.886490367,1.330499552,-0.744936659,0.744936659,0.806808655,-0.806808655
BASP1,Basp1,ICM,-0.65928908,-0.721206595,-0.742896061,0.460427665,1.662964072,-0.74455377,0.74455377,-0.88992317,0.88992317
NFATC2IP,Nfatc2ip,ICM,-0.695936817,-0.677752604,-0.668418484,0.755963276,1.28614463,-0.743584509,0.743584509,0.75472067,-0.75472067
UBE2Z,Ube2z,ICM,-0.424535304,-0.286295377,-0.64657272,-0.472588629,1.829992031,-0.743325618,0.743325618,-0.808540302,0.808540302
GDF3,Gdf3,ICM,-0.390784339,-0.390784339,-0.390784339,-0.386610699,1.558963717,-0.742564455,0.742564455,0.70492792,-0.70492792
ALPL,Alpl,ICM,-0.456536021,-0.456536021,-0.456536021,-0.420188986,1.789797049,-0.740421814,0.740421814,0.878686433,-0.878686433
POF1B,Pof1b,ICM,-0.438624679,-0.438624679,-0.438624679,-0.438624679,1.754498717,-0.738797066,0.738797066,0.78071125,-0.78071125
UBL4A,Ubl4a,ICM,-0.469373569,-0.488370597,-0.464314321,-0.292914546,1.714973032,-0.736021355,0.736021355,0.910362275,-0.910362275
ATP6V1F,Atp6v1f,ICM,-0.120290884,-0.113384319,-0.559343608,-0.893512923,1.686531734,-0.735397889,0.735397889,0.820572598,-0.820572598
SLC52A2,Slc52a2,ICM,-0.608621553,-0.811219604,-0.189969707,-0.091217637,1.701028502,-0.733199665,0.733199665,0.677838085,-0.677838085
AXIN2,Axin2,ICM,-0.604144646,-0.550552269,-0.429125014,0.124461022,1.459360907,-0.732151437,0.732151437,-0.685845371,0.685845371
HTRA2,Htra2,ICM,-0.521389895,-0.767675753,0.865481503,-0.649886406,1.073470551,-0.724022879,0.724022879,0.397329428,-0.397329428
PSMC4,Psmc4,ICM,-0.684572824,-0.574670337,-0.716674644,0.391038893,1.584878913,-0.722512725,0.722512725,0.799099816,-0.799099816
EMC1,Emc1,ICM,-0.671872813,-0.647558336,-0.233807775,-0.117789745,1.671028668,-0.720583972,0.720583972,-0.892249029,0.892249029
NAA50,Naa50,ICM,-0.526810163,-0.845414982,-0.809325368,0.718166286,1.463384228,-0.719869651,0.719869651,-0.874043655,0.874043655
SRPRB,Srprb,ICM,-0.248860897,-0.361508939,-0.520488968,-0.66016302,1.791021823,-0.718569731,0.718569731,0.84032751,-0.84032751
FSCN1,Fscn1,ICM,-0.489194814,-0.482644899,-0.489194814,-0.426489086,1.887523614,-0.716140212,0.716140212,0.730879522,-0.730879522
TMCC3,Tmcc3,ICM,-0.469191591,0.28347181,-0.295098891,-0.582781979,1.063600652,-0.715875068,0.715875068,-0.86735251,0.86735251
DEGS1,Degs1,ICM,-0.580581983,-0.588375103,-0.643140034,-0.019714538,1.831811658,-0.714880299,0.714880299,0.650013787,-0.650013787
HSPA8,Hspa8,ICM,-0.924619328,-0.750807673,0.118385089,-0.083775534,1.640817446,-0.714020404,0.714020404,0.291987642,-0.291987642
TBC1D24,Tbc1d24,ICM,-0.655765986,-0.624335618,0.316685254,-0.55581392,1.519230269,-0.712133771,0.712133771,0.710276822,-0.710276822
PFKFB4,Pfkfb4,ICM,-0.325180363,-0.308848123,-0.48264901,-0.474701271,1.591378767,-0.707528501,0.707528501,0.857076213,-0.857076213
TNPO2,Tnpo2,ICM,-1.045441539,-0.86644123,-0.117712173,0.616617605,1.412977336,-0.704278386,0.704278386,-0.885823522,0.885823522
CTSA,Ctsa,ICM,-0.485572862,-0.447590765,-0.431384215,-0.510203939,1.874751781,-0.703080466,0.703080466,0.761782352,-0.761782352
SOAT1,Soat1,ICM,-0.619636965,-0.748752462,-0.706669444,0.417072754,1.657986117,-0.702151269,0.702151269,-0.905745916,0.905745916
PVR,Pvr,ICM,-0.218769532,-0.483899836,-0.618199425,-0.538430946,1.859299739,-0.701129689,0.701129689,0.896796598,-0.896796598
ELF4,Elf4,ICM,-0.448683422,-0.448683422,-0.448683422,-0.246250369,1.592300634,-0.700235319,0.700235319,0.897798639,-0.897798639
RECQL,Recql,ICM,-0.480125741,-0.520402322,-0.978517244,0.379461193,1.599584115,-0.699113836,0.699113836,0.839569776,-0.839569776
ATP5F1C,Atp5f1c,ICM,-0.625495928,-0.495960593,-0.171154198,-0.534516627,1.827127346,-0.69864734,0.69864734,0.8512366,-0.8512366
RPS5,Rps5,ICM,-0.887603631,-0.755957791,-0.604105462,1.010814511,1.236852373,-0.698581181,0.698581181,0.518029315,-0.518029315
RPUSD1,Rpusd1,ICM,-0.39508646,-0.552550064,-0.481698954,-0.368830159,1.798165637,-0.696097259,0.696097259,0.885240657,-0.885240657
TNIP2,Tnip2,ICM,-0.456604628,-0.54816108,-0.616662616,-0.171266895,1.792695219,-0.695868333,0.695868333,0.910552551,-0.910552551
F3,F3,ICM,-0.452194344,-0.455574692,-0.455574692,-0.439859119,1.803202846,-0.695721187,0.695721187,-0.670483413,0.670483413
GFER,Gfer,ICM,-0.476576337,-0.647777285,-0.386713317,-0.215993598,1.727060537,-0.69302371,0.69302371,-0.861061004,0.861061004
SMYD2,Smyd2,ICM,-0.650374886,-0.870117228,0.042115219,0.524382134,0.953994762,-0.684479384,0.684479384,-0.684479741,0.684479741
WDR5,Wdr5,ICM,-0.718055975,-0.679599687,-0.48267813,0.084134315,1.796199477,-0.677687023,0.677687023,0.809984737,-0.809984737
PARM1,Parm1,ICM,-0.474242071,-0.474242071,-0.474242071,-0.474242071,1.896968286,-0.670940175,0.670940175,-0.907557687,0.907557687
RTN2,Rtn2,ICM,-0.594105123,-0.594105123,-0.594105123,1.070957624,0.711357744,-0.669096247,0.669096247,0.66808958,-0.66808958
POP1,Pop1,ICM,-0.749392662,-0.368140491,-0.560487771,0.132258355,1.54576257,-0.668818321,0.668818321,-0.59605316,0.59605316
SLC16A3,Slc16a3,ICM,-0.563378452,-0.563378452,-0.563378452,-0.130339452,1.820474808,-0.6683301,0.6683301,-0.879058613,0.879058613
ANP32B,Anp32b,ICM,-0.253765825,-0.706280896,-0.749491181,0.07909479,1.630443111,-0.666525572,0.666525572,0.847942604,-0.847942604
LRPPRC,Lrpprc,ICM,-0.635391869,-0.623705927,-0.540047525,-0.029935536,1.829080857,-0.666494877,0.666494877,-0.766647485,0.766647485
HR,Hr,ICM,-0.303040458,-0.443534497,-0.443534497,-0.232559873,1.422669326,-0.666194808,0.666194808,0.724887355,-0.724887355
RPS19BP1,Rps19bp1,ICM,-0.574690084,-0.590631822,-0.509549683,-0.194365244,1.869236832,-0.66550411,0.66550411,0.777845144,-0.777845144
NOMO1,Nomo1,ICM,-0.481363557,-0.577661683,-0.467643329,-0.102275921,1.62894449,-0.659924161,0.659924161,-0.808377503,0.808377503
REST,Rest,ICM,-0.63648767,-0.709442788,-0.758439972,0.755404334,1.348966097,-0.656581333,0.656581333,-0.603370226,0.603370226
NCKAP1L,Nckap1l,ICM,-0.595891683,-0.595891683,0.124088995,-0.133720353,1.201414724,-0.653340379,0.653340379,0.849770099,-0.849770099
NDUFB7,Ndufb7,ICM,-0.619968198,-0.651073541,-0.591775587,0.049652747,1.81316458,-0.652124163,0.652124163,-0.613071083,0.613071083
CD81,Cd81,ICM,-0.445991689,-0.452400861,-0.514902095,-0.482983743,1.896278388,-0.651393057,0.651393057,0.898237479,-0.898237479
PLIN2,Plin2,ICM,-0.514228342,-0.515650257,-0.510584285,-0.094916145,1.635379029,-0.646659336,0.646659336,-0.839901844,0.839901844
GHITM,Ghitm,ICM,-0.529679954,-0.5451707,-0.544495798,-0.221950263,1.841296716,-0.646078754,0.646078754,0.873214956,-0.873214956
USP28,Usp28,ICM,-0.584298363,-0.551801955,-0.556352399,-0.143681138,1.836133855,-0.646063319,0.646063319,-0.900716623,0.900716623
CACNA1B,Cacna1b,ICM,-0.238732682,-0.385611667,-0.322350791,-0.590671034,1.537366174,-0.645722662,0.645722662,-0.814167999,0.814167999
RBM10,Rbm10,ICM,-0.68444496,-0.303153962,-0.623148415,0.014355088,1.596392249,-0.645387933,0.645387933,0.644919862,-0.644919862
GSN,Gsn,ICM,-0.511010608,-0.264622608,-0.510448761,-0.094264341,1.380346318,-0.645270025,0.645270025,-0.890657642,0.890657642
IPMK,Ipmk,ICM,0.031395316,-0.49760314,-0.419619579,-0.121935604,1.007763008,-0.644639285,0.644639285,0.871360344,-0.871360344
MTO1,Mto1,ICM,-0.79365286,-0.810864942,0.017981292,0.330151072,1.256385438,-0.644409265,0.644409265,0.626806467,-0.626806467
DGKZ,Dgkz,ICM,-0.449935224,0.428334042,-0.710809125,0.005219061,0.727191246,-0.639059628,0.639059628,0.669478884,-0.669478884
SPTLC2,Sptlc2,ICM,-0.588255244,-0.504855237,-0.460216061,-0.334818918,1.88814546,-0.638982186,0.638982186,0.909497686,-0.909497686
MTA2,Mta2,ICM,-0.263641929,-0.605063667,-0.792250171,0.273872862,1.387082905,-0.638498397,0.638498397,0.813070771,-0.813070771
BCL3,Bcl3,ICM,-0.367195548,-0.326221954,-0.240964946,-0.367195548,1.301577996,-0.63691438,0.63691438,0.72924169,-0.72924169
LPCAT3,Lpcat3,ICM,-0.448938196,-0.47864508,-0.47864508,-0.47864508,1.884873437,-0.636753889,0.636753889,0.844970049,-0.844970049
RHOV,Rhov,ICM,-0.443338138,-0.443338138,-0.443338138,-0.443338138,1.773352552,-0.636514348,0.636514348,0.882336068,-0.882336068
IDH3A,Idh3a,ICM,-0.326233278,-0.29296894,-0.445048105,-0.674694523,1.738944846,-0.635208931,0.635208931,0.809224484,-0.809224484
SMAP1,Smap1,ICM,0.026346375,0.08308482,0.046857781,-0.535537465,0.37924849,-0.63306295,0.63306295,0.369171704,-0.369171704
COX14,Cox14,ICM,-0.691941584,-0.533133067,-0.698309321,0.174413888,1.748970084,-0.631459764,0.631459764,0.806806704,-0.806806704
DHX57,Dhx57,ICM,-0.52320151,0.121101187,0.724962162,-1.28134484,0.958483001,-0.630243264,0.630243264,-0.775107663,0.775107663
UBAP2L,Ubap2l,ICM,-0.663300646,-0.395505094,-0.474334564,0.089729926,1.443410378,-0.627316656,0.627316656,0.406931379,-0.406931379
DNMT3L,Dnmt3l,ICM,-0.448597282,-0.448597282,-0.448597282,-0.443634918,1.789426765,-0.627005998,0.627005998,0.313727471,-0.313727471
SMARCAD1,Smarcad1,ICM,0.090306436,-0.821425561,0.077206089,-0.802218275,1.456131311,-0.626194625,0.626194625,0.84615159,-0.84615159
ZNF780A,Zfp59,ICM,0.972687362,0.733442622,-0.760936635,-1.035079933,0.089886585,-0.626128217,0.626128217,0.702799847,-0.702799847
ZNF780A,Zfp59,ICM,0.972687362,0.733442622,-0.760936635,-1.035079933,0.089886585,-0.626128217,0.626128217,0.702799847,-0.702799847
ZNF780A,Zfp59,ICM,0.972687362,0.733442622,-0.760936635,-1.035079933,0.089886585,-0.626128217,0.626128217,0.702799847,-0.702799847
SGK1,Sgk1,ICM,-0.709245587,-0.700176079,-0.436664534,0.594190444,1.251895757,-0.624267237,0.624267237,0.672201441,-0.672201441
SNX8,Snx8,ICM,-0.559812509,-0.570280053,-0.50860018,-0.090845815,1.729538557,-0.621854845,0.621854845,-0.815371941,0.815371941
AHNAK,Ahnak,ICM,-0.48565525,-0.484951998,-0.48565525,-0.44029382,1.896556317,-0.620646993,0.620646993,0.80130164,-0.80130164
AP1B1,Ap1b1,ICM,-0.566769528,-0.473849782,-0.541138423,-0.252384547,1.83414228,-0.620344703,0.620344703,-0.835181364,0.835181364
MON1B,Mon1b,ICM,-0.095471665,-0.192640121,0.674355596,-1.293972235,0.907728426,-0.617460389,0.617460389,-0.894601873,0.894601873
AICDA,Aicda,ICM,-0.343096692,-0.343096692,-0.217764205,-0.343096692,1.247054281,-0.611803589,0.611803589,-0.791026354,0.791026354
HAND1,Hand1,ICM,-0.510502604,-0.510502604,-0.501249051,-0.347191209,1.869445468,-0.611233502,0.611233502,-0.658048776,0.658048776
XKR4,Xkr4,ICM,-0.688323237,-0.688323237,-0.267779531,0.038203671,1.606222333,-0.60967192,0.60967192,-0.873141725,0.873141725
SELENOP,Selenop,ICM,-0.515141676,-0.515141676,-0.184465249,-0.27078171,1.485530311,-0.600867288,0.600867288,-0.909697582,0.909697582
MYBL2,Mybl2,ICM,-0.570242779,-0.562874751,-0.554331509,-0.181894863,1.869343903,-0.597610173,0.597610173,0.782151732,-0.782151732
ELF3,Elf3,ICM,-0.471564923,-0.463679953,-0.459781221,-0.471564923,1.866591019,-0.59508142,0.59508142,0.893202112,-0.893202112
MAFK,Mafk,ICM,-0.077015825,0.75844371,-0.002792896,-0.758418187,0.079783199,-0.594167409,0.594167409,-0.776981887,0.776981887
URB2,Urb2,ICM,-0.717824373,-0.683984217,-0.717824373,0.723464563,1.3961684,-0.593720177,0.593720177,-0.832414049,0.832414049
HS3ST3B1,Hs3st3b1,ICM,-0.358446236,-0.358446236,-0.358446236,-0.269132276,1.344470985,-0.593333524,0.593333524,-0.763716782,0.763716782
CYP1B1,Cyp1b1,ICM,-0.44829653,-0.44829653,-0.44829653,-0.338262368,1.683151958,-0.590724684,0.590724684,-0.855408387,0.855408387
FEM1B,Fem1b,ICM,-0.64762801,-0.479792828,-0.848975628,0.63696268,1.339433787,-0.587849934,0.587849934,-0.781806561,0.781806561
ZNF703,Zfp703,ICM,-0.405078328,-0.405078328,-0.340791632,-0.131134244,1.282082533,-0.587461679,0.587461679,-0.908108363,0.908108363
SPON2,Spon2,ICM,-0.578641973,-0.361763153,0.08951381,-0.111775813,0.962667129,-0.584015669,0.584015669,-0.774384782,0.774384782
BTG2,Btg2,ICM,-0.482951595,-0.468407871,-0.460548593,-0.482951595,1.894859655,-0.582699297,0.582699297,-0.652193495,0.652193495
CLTB,Cltb,ICM,-0.795491961,-0.553291844,-0.595720201,0.240557254,1.703946752,-0.582557428,0.582557428,0.899019204,-0.899019204
NRG2,Nrg2,ICM,-0.174083899,-0.446845115,-0.446845115,-0.446845115,1.514619243,-0.580839036,0.580839036,0.901610506,-0.901610506
HRK,Hrk,ICM,-0.430840842,-0.430840842,-0.430840842,-0.430840842,1.723363368,-0.578203323,0.578203323,0.757290373,-0.757290373
HSDL2,Hsdl2,ICM,-0.204129328,-0.367917852,-0.208627551,-0.919068613,1.699743344,-0.577850552,0.577850552,-0.846141489,0.846141489
INSM1,Insm1,ICM,-0.304901033,-0.430472646,-0.351607152,-0.162364778,1.249345609,-0.575368976,0.575368976,-0.885810211,0.885810211
FXYD4,Fxyd4,ICM,-0.639385047,-0.633097146,-0.465747219,-0.108622512,1.846851924,-0.574937753,0.574937753,0.826478275,-0.826478275
SERTAD2,Sertad2,ICM,-0.854500921,-0.942148709,0.033364229,0.088244404,1.675040996,-0.567816348,0.567816348,-0.844360184,0.844360184
WNT6,Wnt6,ICM,-0.316227766,-0.316227766,-0.316227766,-0.316227766,1.264911064,-0.565335252,0.565335252,0.863734717,-0.863734717
FLNB,Flnb,ICM,-0.336558487,-0.317709585,-0.476691711,-0.568382655,1.699342437,-0.565095607,0.565095607,-0.700293888,0.700293888
KTI12,Kti12,ICM,-0.719417747,-0.709217463,-0.762508598,0.599427742,1.591716067,-0.564955601,0.564955601,0.544824186,-0.544824186
SLC35F6,Slc35f6,ICM,-0.464699894,-0.410828616,-0.487202886,-0.493205408,1.855936804,-0.563625258,0.563625258,0.624550124,-0.624550124
SRF,Srf,ICM,-0.535990506,-0.292536688,-0.269028972,-0.472673185,1.570229351,-0.562229601,0.562229601,-0.618712741,0.618712741
NDUFB11,Ndufb11,ICM,-0.667784324,-0.672037882,-0.633438414,0.229459652,1.743800968,-0.557423425,0.557423425,0.870774967,-0.870774967
NDUFB11,Ndufb11,ICM,-0.667784324,-0.672037882,-0.633438414,0.229459652,1.743800968,-0.557423425,0.557423425,0.870774967,-0.870774967
PMP22,Pmp22,ICM,-0.628475056,-0.628475056,-0.545580756,0.177239885,1.625290984,-0.552699062,0.552699062,-0.793684091,0.793684091
RGS10,Rgs10,ICM,-0.759722002,-0.685983044,-0.728945825,0.569539866,1.605111005,-0.552241561,0.552241561,-0.845749599,0.845749599
SLC40A1,Slc40a1,ICM,-0.382494789,-0.382494789,-0.310250379,-0.378236986,1.453476943,-0.551350602,0.551350602,-0.748042132,0.748042132
SHLD3,Shld3,ICM,-0.553660741,-0.639748124,-0.79785612,0.685015153,1.306249833,-0.55121964,0.55121964,0.794035326,-0.794035326
HOPX,Hopx,ICM,-0.32420613,-0.32420613,-0.320438857,-0.305011109,1.273862225,-0.548799627,0.548799627,0.797876457,-0.797876457
SH3BP4,Sh3bp4,ICM,-0.435888894,-0.374805991,-0.412362271,-0.550060157,1.773117313,-0.548109607,0.548109607,0.746260345,-0.746260345
AIRE,Aire,ICM,-0.600140344,-0.600140344,-0.600140344,0.274485281,1.525935752,-0.547619059,0.547619059,0.852849207,-0.852849207
MIPEP,Mipep,ICM,-0.175571619,0.085685157,0.51225493,-1.358432516,0.936064049,-0.544526104,0.544526104,-0.684391051,0.684391051
EIF3C,Eif3c,ICM,-0.568249754,-0.568733264,-0.223954493,-0.237838582,1.598776094,-0.541784131,0.541784131,0.461996013,-0.461996013
IFITM3,Ifitm2,ICM,-0.473511535,-0.473511535,-0.472912501,-0.473511535,1.893447106,-0.54118877,0.54118877,0.875236116,-0.875236116
MYDGF,Mydgf,ICM,-0.301483865,-0.434248121,-0.817353752,0.010968677,1.542117061,-0.534573186,0.534573186,0.801646147,-0.801646147
DLGAP3,Dlgap3,ICM,-0.468564866,-0.468564866,1.052912047,-0.468564866,0.35278255,-0.534151191,0.534151191,0.792470265,-0.792470265
