"","zygote_r1","zygote_r2","twoC_r1","twoC_r2","fourC_r1","fourC_r2","eightC_r1","eightC_r2","ICM_r1","ICM_r2"
"LOC101928009",0,0,0,0,0,0,0,0,2,0
"LELP1",0,0,0,0,0,0,0,0,0,0
"PRR9",0,0,0,0,0,0,6,0,18,308
"RPLP0P4",0,0,0,0,0,0,0,0,2,0
"LORICRIN",0,0,0,0,0,0,0,0,0,0
"PGLYRP3",0,0,0,0,0,0,0,0,4,0
"PGLYRP4",0,0,0,0,0,0,4,2,2,0
"RNU6-160P",0,0,0,0,0,0,0,0,0,0
"S100A9",0,0,0,0,0,0,10,0,0,70
"S100A12",0,0,0,0,0,0,0,0,2,0
"ENSG00000237008",0,0,0,0,0,0,0,0,0,0
"S100A8",0,0,0,0,0,0,0,0,0,0
"S100A15A",0,0,0,0,0,0,0,0,0,0
"S100A7A",0,0,0,0,0,0,0,0,1,0
"S100A7P1",0,0,0,0,0,0,0,0,0,0
"S100A7",0,0,0,0,0,0,0,5,0,0
"ENSG00000197364",0,0,0,0,0,0,0,0,0,0
"LOC124904631",0,0,0,0,0,0,0,0,0,2
"ENSG00000270392",0,8,0,0,0,0,0,0,2,2
"LOC124904641",0,0,0,0,0,0,0,0,0,0
"NBPF8",4,16,13,2,16,31,1,27,45,25
"RPS27AP5",8,8,27,6,9,1,31,38,76,51
"TNFRSF18",0,0,0,0,0,0,0,0,0,0
"SDF4",16,8,12,14,11,0,12,18,42,34
"B3GALT6",0,10,2,12,4,0,0,18,14,46
"C1QTNF12",0,0,0,0,5,0,0,0,8,20
"ENSG00000260179",0,0,0,0,0,0,0,0,2,0
"UBE2J2",152,166,242,234,166,178,30,27,186,354
"ENSG00000230415",0,0,0,0,0,0,0,0,0,0
"SCNN1D",0,0,0,2,0,0,0,0,0,0
"MIR6726",0,0,0,0,0,0,0,0,0,0
"PLEKHO1",20,7,30,16,20,0,2,0,4,4
"ENSG00000285554",0,0,0,0,0,0,13,0,0,0
"RN7SL480P",0,0,0,0,0,0,0,0,0,0
"ANP32E",32,216,34,177,74,310,223,640,1854,3056
"RNU2-17P",0,0,0,0,0,0,0,0,0,0
"ENSG00000276110",0,0,0,0,0,0,0,0,0,0
"CA14",7,14,9,0,14,0,0,30,7,46
"APH1A",190,302,357,497,331,76,64,53,79,22
"C1orf54",3,10,2,8,2,0,4,3,11,2
"ENSG00000289041",8,20,3,4,16,0,2,9,0,0
"CIART",878,956,627,750,478,434,226,306,4,0
"MRPS21",1242,1379,1298,1522,580,956,1578,2720,1072,1622
"PRPF3",324,724,478,476,390,188,224,455,281,298
"ACAP3",0,0,0,0,0,16,0,8,7,6
"INTS11",5,0,6,20,6,0,17,12,96,123
"MIR6727",0,0,0,0,0,0,0,0,0,0
"ENSG00000240731",0,0,0,0,0,0,0,0,2,0
"CPTP",0,0,2,2,0,2,4,0,17,8
"TAS1R3",0,0,0,0,0,0,0,4,6,0
"DVL1",4,10,8,32,6,10,0,0,7,30
"MIR6808",0,0,0,0,0,0,0,0,0,0
"MXRA8",0,0,0,0,0,0,0,0,24,52
"AURKAIP1",22,6,24,14,16,34,36,49,844,1146
"NDUFB4P8",0,0,0,0,0,0,0,0,0,0
"ENSG00000243659",0,0,0,7,0,0,0,0,0,2
"TMEM222",36,54,16,6,20,0,24,37,124,174
"RNU6-48P",0,0,0,0,0,0,0,0,0,0
"ENSG00000241547",0,3,0,0,0,0,4,23,8,2
"SYTL1",0,0,0,0,0,0,2,0,7,4
"MAP3K6",15,56,23,16,12,1,0,22,11,17
"CD164L2",0,0,0,0,0,0,8,4,3,0
"ENSG00000231207",0,0,0,0,0,0,0,2,0,0
"ENSG00000241169",0,0,0,0,0,0,0,0,0,0
"VPS45",282,492,358,474,414,624,225,708,134,88
"IL6R",0,0,0,0,0,64,6,0,302,462
"MUTYH",0,0,0,0,0,7,0,0,4,0
"ACADM",78,28,28,20,48,10,40,2,640,464
"ZBTB18",30,60,40,20,18,156,45,54,6,20
"ENSG00000243781",0,0,0,0,0,0,0,0,0,0
"ENSG00000283174",0,0,0,0,0,0,0,0,0,0
"MTND2P27",58,29,23,20,29,0,6,0,0,0
"MTND1P25",0,0,0,0,0,0,0,0,0,0
"MTCYBP15",0,0,0,0,0,0,0,0,2,0
"MTND6P15",0,0,0,0,0,0,0,0,0,0
"MTND5P18",0,0,0,0,0,0,0,0,0,0
"RPL9P11",0,0,0,0,2,0,3,0,4,0
"TMEM201",118,78,69,58,60,16,15,2,36,42
"PIK3CD-AS1",0,0,0,0,0,0,0,0,0,0
"ENSG00000233268",0,0,0,0,0,0,0,0,0,0
"CLSTN1",276,285,297,337,148,152,71,82,64,104
"ENSG00000271264",0,0,0,0,0,0,0,0,0,0
"ENSG00000280113",0,0,0,0,2,0,0,4,4,0
"CTNNBIP1",19,47,33,22,12,2,2,10,0,4
"CTNNBIP1-AS1",0,0,0,0,0,0,0,0,0,0
"ENSG00000285701",0,0,0,0,0,0,0,0,0,0
"LZIC",552,820,652,705,356,296,685,1123,301,434
"ENSG00000228150",1,8,2,7,2,0,14,35,10,18
"ENSG00000202415",0,0,0,0,0,0,0,0,0,5
"TMEM274P",0,0,0,0,0,0,0,0,0,0
"MIR5697",0,0,0,0,0,0,0,0,0,0
"PDZK1",112,153,72,123,106,0,22,82,2,0
"CD160",0,0,0,0,6,0,0,4,0,10
"RNF115",221,118,158,212,118,190,212,800,299,385
"POLR3C",93,114,112,222,162,214,426,857,578,484
"PIK3CD",38,30,24,24,20,56,0,10,8,0
"RNU6-693P",0,0,0,0,0,0,0,0,0,0
"ENSG00000229785",0,2,0,0,0,0,0,0,0,0
"ENSG00000279061",0,0,0,0,0,0,0,0,0,0
"FASLG",0,0,0,0,0,0,0,0,0,0
"NBPF9",4,10,18,0,6,6,17,82,105,49
"RNU1-153P",0,0,0,0,0,0,0,0,0,0
"RNU1-154P",0,0,0,0,0,0,0,0,0,0
"ENSG00000286620",0,0,0,0,0,0,0,0,0,2
"RNVU1-31",6,5,4,1,4,0,0,0,0,2
"ENSG00000287374",0,0,0,0,0,0,0,0,2,0
"ENSG00000278182",0,0,0,0,0,0,0,0,0,0
"ENSG00000275064",0,0,6,0,2,0,0,5,1,0
"NBPF20",0,4,7,0,0,1,21,97,65,70
"PRAMEF25",0,0,0,10,31,14,40,67,0,0
"ENSG00000288835",0,5,4,3,6,0,0,0,0,0
"GPATCH4",0,0,0,0,0,0,0,0,4,4
"NBPF12",22,50,44,22,16,0,26,44,55,37
"VAMP3",1477,1703,1843,1728,1131,579,606,921,734,564
"ENSG00000269925",0,0,0,0,0,0,2,0,2,0
"PER3",268,446,325,335,154,188,63,162,38,17
"ENSG00000236266",8,8,2,5,4,11,3,0,2,0
"UTS2",0,10,0,0,18,6,87,0,0,0
"TNFRSF9",0,0,0,0,0,0,0,2,2,0
"ENSG00000270330",0,0,0,0,0,0,0,0,0,0
"PARK7",1108,2067,1798,2484,796,731,774,1700,2466,2738
"ENSG00000200344",0,0,0,0,0,0,0,0,0,0
"ENSG00000284747",4,0,0,0,3,0,0,0,5,22
"ENSG00000284716",0,0,0,0,0,0,0,0,0,2
"ERRFI1",158,188,152,232,135,61,362,525,640,894
"ENSG00000232848",0,0,0,0,0,0,0,0,0,0
"CMPK1",306,324,478,334,160,264,959,1050,778,600
"ENSG00000271355",0,0,0,0,0,0,0,0,4,0
"RPL21P24",0,0,0,0,0,0,0,0,0,0
"ATP6V0E1P4",0,0,0,0,0,0,0,0,0,0
"CSF3R",0,0,0,0,0,0,0,2,12,26
"HSPE1P24",0,0,0,0,0,0,0,0,0,0
"ENSG00000215785",0,0,0,0,0,0,0,0,0,0
"CIROZ",6,12,4,11,8,0,0,0,2,2
"ENSG00000234784",0,0,0,0,0,0,0,0,5,0
"ENSG00000233877",0,0,0,0,0,0,0,0,0,0
"ENSG00000185031",0,0,0,0,0,0,0,0,0,0
"ENSG00000272506",0,0,0,0,0,0,0,0,0,0
"RNU6-1176P",0,0,0,0,0,0,0,0,0,0
"MIR3671",0,0,0,0,0,0,0,0,8,1
"MIR101-1",0,0,0,0,0,0,0,0,10,7
"ENSG00000288804",0,0,2,0,0,0,6,0,2,0
"ENSG00000235804",0,0,0,0,0,0,0,0,0,0
"ENSG00000234496",0,0,0,0,0,0,0,37,0,0
"ENSG00000289273",0,0,0,0,0,0,0,0,0,0
"FCGR2A",0,10,0,0,7,61,0,2,5,0
"ENSG00000287343",0,0,0,0,0,0,0,0,0,0
"SERTAD4",0,0,0,2,6,0,8,0,14,30
"ST13P19",2,2,5,0,0,0,1,0,0,0
"ENSG00000233455",0,0,0,0,0,0,0,0,0,0
"ENSG00000231622",0,0,0,0,0,0,0,0,0,0
"DPH2",22,23,28,11,65,0,34,109,87,203
"JAK1",648,576,820,996,560,701,298,237,302,214
"LINC01359",0,0,0,0,1,0,6,3,4,0
"SETSIP",2,0,0,4,0,0,2,6,18,6
"BCL10",1490,1666,834,884,215,556,697,1790,461,354
"UBE2T",2578,3776,4126,3574,1474,1494,1440,1797,1914,1225
"CFHR1",0,0,0,0,0,0,0,0,0,0
"CFHR4",0,0,0,0,0,0,0,0,0,0
"CFHR5",0,0,0,0,0,0,0,3,6,0
"CLCA4-AS1",12,3,2,8,6,0,8,2,0,2
"RPL17P5",0,0,0,0,0,0,6,8,4,10
"FCGR3A",0,0,0,0,0,0,0,0,4,0
"ENSG00000289768",0,0,0,0,0,0,0,10,0,0
"FCGR3B",0,0,0,0,0,0,0,0,0,0
"NUAK2",2,0,2,12,14,0,8,2,35,28
"KLHDC8A",8,0,0,0,0,2,0,2,2,4
"ENSG00000235363",394,310,354,318,234,328,456,592,656,498
"LEMD1-AS1",0,0,0,0,0,0,0,60,4,4
"LEMD1",0,0,0,0,0,0,0,0,4,12
"MIR135B",0,0,0,0,0,0,0,0,0,0
"LEMD1-DT",0,0,0,0,0,0,0,0,0,0
"BLACAT1",0,0,0,0,0,0,0,0,0,0
"NCSTN",65,70,58,54,50,66,106,108,238,535
"C4BPAP2",0,0,0,0,0,0,0,0,1,0
"ENSG00000237074",0,0,0,0,0,0,0,0,0,8
"CD55",2038,3717,1918,2834,984,1603,286,315,2211,2222
"LOC124904498",0,0,0,0,0,0,0,0,0,0
"CR2",752,850,958,502,360,666,146,262,6,12
"CR1",5,2,13,31,2,0,1,0,3,2
"ENSG00000236911",0,0,0,0,0,0,0,0,1,2
"ENSG00000274059",0,0,0,0,0,0,0,0,0,0
"SYT14",265,412,402,561,176,513,84,170,46,6
"AGO1",170,298,123,155,85,114,42,150,222,132
"CFAP97P1",0,0,0,0,0,0,0,0,0,0
"ENSG00000286899",0,0,0,0,0,0,4,2,0,0
"ENSG00000271914",0,0,0,0,0,0,0,0,0,0
"AGO3",25,10,65,57,38,0,145,155,92,85
"ENSG00000271554",0,0,0,0,0,0,0,0,3,0
"RNU6-171P",0,0,0,0,0,0,0,0,0,0
"ENSG00000269887",9,48,18,24,18,0,0,14,2,2
"ENSG00000276359",0,0,0,0,0,0,0,0,0,0
"PBX1-AS1",0,0,0,0,0,0,0,0,0,0
"ENSG00000271917",0,0,0,0,0,0,0,0,0,0
"ENSG00000201987",0,0,0,0,0,0,0,0,0,0
"ENSG00000225487",0,0,0,0,0,0,2,0,2,0
"RNU6-755P",0,0,0,0,0,0,0,0,0,0
"WNT9A",4,12,0,14,0,0,4,0,0,2
"MIR5008",0,0,0,0,0,0,0,0,0,0
"ENSG00000233003",0,0,0,0,0,0,0,0,0,0
"ENSG00000274886",0,0,0,0,0,0,0,0,0,0
"ARF1",851,1547,986,1190,509,936,340,650,1608,2615
"PBX1",607,876,721,844,433,827,150,397,62,10
"RPL18AP5",0,0,0,0,0,0,0,0,0,0
"ENSG00000214973",0,3,0,4,2,0,0,0,0,10
"NPM1P39",56,107,64,116,66,114,72,258,92,121
"ENSG00000225990",2,0,0,0,0,0,0,0,0,0
"ENSG00000224311",0,0,0,0,0,0,0,0,0,0
"WDTC1",62,34,66,48,30,60,18,55,18,12
"ENSG00000252098",0,0,0,0,0,0,0,0,0,0
"WASF2",388,526,566,622,512,514,90,128,280,316
"LOC105376892",0,0,0,0,0,0,0,2,2,0
"FCN3",0,0,0,0,0,0,0,2,6,0
"PLA2G2A",0,0,0,0,30,6,14,0,2,2
"SPRR5",0,0,0,0,0,0,0,0,0,0
"NOTCH2NLB",0,18,0,0,2,0,0,0,0,2
"OR2AK2",0,0,0,0,0,0,0,0,0,0
"OR6K6",0,0,0,0,0,0,0,0,0,0
"FCRLB",0,0,0,0,2,0,0,2,0,0
"PRSS38",0,0,0,0,0,0,0,0,0,0
"OR10R2",0,0,0,0,0,0,0,0,0,0
"OR2L13",0,0,0,0,0,0,0,2,0,0
"LCE7A",0,0,0,0,2,2,0,0,0,0
"NOTCH2NLR",0,0,0,2,0,0,0,1,0,0
"OR14L1",0,0,0,0,0,4,0,1,0,3
"PRAMEF18",0,0,0,3,28,81,111,211,3,2
"NOTCH2NLA",5,0,1,0,6,0,0,0,3,3
"CLEC20A",0,0,0,0,2,0,0,0,0,2
"ZNF593OS",63,62,104,70,37,76,5,15,0,0
"TMEM35B",0,1,2,0,0,0,0,0,0,0
"TTC34",0,4,2,0,0,0,0,0,8,0
"NBPF14",0,5,6,1,0,2,3,5,19,28
"C1orf202",4,2,11,8,15,11,6,0,2,10
"TAS1R2",0,1,0,0,0,0,0,0,2,0
"TAF5L",572,599,800,816,554,1265,610,474,62,113
"NFIA-AS2",0,0,0,0,2,0,0,77,2,2
"NFIA-AS1",0,0,0,0,0,0,0,0,0,0
"TNFRSF4",0,0,0,0,0,0,0,0,0,0
"NFIA",2,0,6,4,153,95,20,9,52,20
"CFHR2",0,0,0,0,0,0,0,0,2,2
"ENSG00000272033",0,0,0,0,0,0,0,0,16,0
"ENSG00000287218",0,0,0,0,0,0,3,0,0,2
"ENSG00000233411",0,0,0,0,0,0,0,0,0,0
"ENSG00000273160",0,0,0,0,0,0,0,0,0,0
"ENSG00000227776",0,0,0,0,0,0,0,0,0,0
"CREG1",14,14,14,10,8,4,172,26,151,268
"RPS18P4",0,0,0,0,0,0,12,0,0,0
"ENSG00000241666",0,0,0,0,0,0,0,0,8,0
"CD247",14,4,0,10,0,0,0,3,2,0
"ENSG00000236528",0,0,0,0,0,0,0,0,0,20
"ATP1A1-AS1",0,7,6,4,2,0,6,0,24,4
"SMG7-AS1",0,0,3,0,0,0,15,72,6,0
"LOC130932201",0,6,0,0,0,0,2,0,2,3
"LINC01699",0,2,0,0,0,0,0,0,0,0
"ENSG00000273573",0,0,0,0,0,0,0,0,0,0
"RNA5SP70",0,0,0,0,0,0,0,0,0,0
"ENSG00000288574",8,1,4,15,6,0,9,0,0,0
"ENSG00000222397",0,0,0,0,0,0,0,0,0,0
"ENSG00000287452",333,316,318,271,136,71,28,0,0,0
"MASP2",0,0,0,0,0,0,2,14,13,12
"ENSG00000237436",0,0,0,0,0,0,0,0,0,0
"RPL37P9",0,0,0,0,0,0,0,0,0,0
"CAMTA1-AS3",0,0,0,0,0,0,0,0,0,0
"RNU1-8P",0,0,0,0,0,0,0,0,0,0
"ENSG00000237402",0,2,0,0,6,0,2,6,0,2
"ENSG00000237728",0,0,0,0,0,0,0,0,0,0
"ENSG00000225126",0,0,0,0,0,0,0,0,0,0
"ENSG00000270171",0,0,0,0,0,0,2,0,0,0
"ENSG00000270035",0,0,0,0,0,0,0,0,0,0
"ENSG00000269978",0,0,0,0,0,0,0,0,0,0
"CAMTA1",1038,1058,805,891,392,364,826,1240,343,460
"MIR1290",0,0,0,0,0,0,0,0,0,0
"AXDND1",4,4,6,0,18,38,12,18,8,0
"ENSG00000224620",0,0,0,0,0,0,0,0,0,0
"ENSG00000236539",0,0,2,0,0,38,2,0,4,6
"ENSG00000261250",0,0,0,0,0,0,0,4,2,2
"NPHS2",0,0,0,0,0,0,0,2,0,0
"RNU5F-2P",0,0,0,0,0,0,0,0,0,0
"ENSG00000227141",0,0,0,10,0,0,0,0,2,0
"ENSG00000261060",4,0,4,2,0,0,0,0,0,0
"CEPT1",79,134,151,87,55,0,95,180,386,784
"GNG12-AS1",163,126,179,103,178,0,40,26,0,2
"ENSG00000288573",0,0,0,0,0,0,2,8,8,0
"ENSG00000289071",0,0,0,0,0,0,0,0,0,0
"ENSG00000236021",0,0,0,0,12,15,0,0,0,18
"LINC01354",0,0,0,0,6,24,0,0,0,0
"ENSG00000289288",0,0,0,0,4,2,4,0,0,0
"ENSG00000289880",0,0,0,0,0,0,0,0,0,0
"ENSG00000225938",0,0,0,0,0,0,0,0,2,0
"ENSG00000285728",0,0,2,0,0,0,2,0,4,0
"LINC02608",0,5,0,0,9,4,40,111,10,26
"ENSG00000289893",4,2,14,10,9,39,4,0,2,0
"ENSG00000227712",0,0,0,0,0,0,2,0,4,0
"ENSG00000271576",0,0,0,0,0,14,16,20,0,8
"ENSG00000231563",0,1,0,0,3,5,0,0,3,2
"ENSG00000272482",0,0,0,0,0,0,0,0,0,0
"ENSG00000289914",0,0,0,0,0,0,0,0,0,0
"ENSG00000272583",0,0,0,0,0,0,0,0,0,0
"LOC107985206",0,0,0,0,0,0,0,0,0,0
"MIR34AHG",0,0,0,0,22,8,0,40,10,48
"LINC01778",0,0,0,0,13,15,0,2,0,0
"MATN1-AS1",0,0,0,0,0,0,0,0,4,0
"LINC01748",0,18,0,4,14,0,10,4,22,0
"ENSG00000289962",0,0,0,0,2,0,0,0,0,0
"ENSG00000285184",0,0,0,0,0,0,0,1,0,2
"ENSG00000289103",0,0,0,0,0,0,0,0,0,0
"LINC02971",0,0,0,0,0,0,0,0,0,0
"ENSG00000231128",0,0,0,0,6,0,8,4,0,0
"LOC101928334",0,0,0,0,0,0,0,0,0,0
"ENSG00000289318",2,0,4,4,0,8,0,0,14,6
"LOC107985241",0,0,0,0,0,0,0,0,0,0
"ENSG00000289402",0,0,0,0,0,0,0,0,0,0
"DCAF8-DT",1,0,2,0,0,60,0,0,0,6
"ENSG00000289377",0,0,0,0,0,0,0,0,0,2
"ENSG00000237352",20,19,39,17,16,0,10,1,3,1
"ENSG00000290006",0,0,0,0,0,0,0,0,0,0
"ENSG00000290013",0,0,0,0,0,0,0,0,0,0
"MAGOH-DT",33,53,19,48,35,0,6,0,2,0
"ENSG00000288772",0,0,0,0,0,0,0,0,0,1
"LOC101927468",0,0,0,0,0,0,0,0,10,3
"LOC105371689",0,0,0,0,29,18,174,136,2,0
"ENSG00000273129",0,0,0,0,0,0,0,0,0,0
"CNN3-DT",0,0,11,4,0,0,12,0,0,0
"ENSG00000289457",0,0,0,0,0,0,0,0,0,0
"ENSG00000290037",0,0,0,0,0,0,0,0,0,0
"ENSG00000290041",0,0,0,0,0,0,0,0,0,0
"ENSG00000290045",0,0,0,0,0,0,0,0,0,0
"ENSG00000287902",0,0,0,0,0,0,0,0,0,0
"LINC01736",0,0,0,0,0,0,0,0,0,0
"PRDM16-DT",0,0,0,0,0,2,4,2,4,4
"ENSG00000233290",0,0,0,0,1,0,0,13,2,0
"PROX1-AS1",0,0,0,0,2,33,0,8,10,0
"ENSG00000234476",0,0,0,0,0,0,0,8,0,0
"LOC105373289",0,0,0,0,0,4,0,0,8,0
"ENSG00000289610",0,0,0,0,0,0,0,0,0,0
"ENSG00000289055",0,0,0,0,0,0,12,8,0,0
"ENSG00000229989",18,14,17,22,4,0,5,2,2,0
"LOC107985451",0,0,0,0,0,0,0,0,0,1
"ENSG00000272205",12,4,14,20,6,0,4,0,0,4
"ENSG00000203709",4,0,0,36,10,0,9,24,9,0
"ENSG00000290066",17,30,26,37,26,12,1,13,0,0
"ENSG00000289593",0,0,0,0,0,0,0,0,0,0
"ENSG00000237076",0,0,0,0,0,3,0,34,0,3
"LITATS1",32,0,4,3,8,122,10,0,2,0
"ENSG00000236963",21,22,6,62,0,0,0,25,3,6
"LOC124904478",0,0,0,0,0,0,0,0,0,0
"LOC107985203",0,0,0,1,4,10,0,0,0,0
"LOC124904544",0,0,0,0,0,0,0,0,9,2
"ATF6-DT",1,7,0,10,6,0,6,57,0,9
"ENSG00000289367",0,0,0,0,0,0,0,0,0,0
"LYPLAL1-DT",24,8,18,0,33,0,16,2,0,0
"LINC01397",0,6,6,2,0,0,0,0,0,6
"ENSG00000289341",0,2,0,0,0,0,10,0,2,0
"ENSG00000224616",8,10,18,2,6,0,6,0,0,2
"LOC101928565",0,0,0,0,1,0,0,0,2,4
"ENSG00000223944",0,0,0,0,0,0,0,0,1,0
"PRDX6-AS1",7,26,8,30,14,36,20,32,2,17
"LINC01781",0,0,0,0,0,0,0,0,0,0
"ENSG00000236155",0,0,0,0,8,0,2,0,14,0
"ENSG00000288736",0,0,0,0,0,0,0,0,16,6
"MIR137HG",0,0,0,0,2,0,0,0,0,0
"LINC02607",16,0,12,1,9,0,5,0,0,0
"LINC02609",8,10,9,44,30,22,20,28,6,22
"LINC01348",2,0,0,0,0,0,0,0,6,0
"ENSG00000232480",0,0,0,0,1,0,4,0,1,0
"ENSG00000290081",0,0,0,0,0,0,0,2,0,0
"ARHGAP29-AS1",0,0,0,0,3,0,4,28,1,0
"LOC101926964",0,0,0,0,0,0,0,2,6,1
"ENSG00000288927",0,0,0,0,0,0,0,0,0,0
"ENSG00000260805",0,0,0,0,0,0,0,0,0,0
"LOC101926907",0,0,0,0,0,0,0,0,0,2
"ENSG00000224968",269,341,251,509,312,308,39,180,1,0
"LOC101927560",2,64,0,0,9,6,0,65,8,10
"LINC01133",0,0,2,0,6,0,10,0,1,6
"ENSG00000286198",0,0,0,0,0,0,0,0,2,0
"LSP1P5",14,8,6,6,0,2,6,4,12,4
"ENSG00000272449",0,0,0,0,0,0,0,0,0,0
"LINC02766",0,0,0,0,0,2,0,0,4,0
"ENSG00000238260",0,0,0,0,0,0,0,0,2,0
"LRRC8C-DT",14,2,0,1,12,0,0,0,4,5
"ITPKB-IT1",0,0,0,0,0,2,0,0,0,0
"ENSG00000288822",24,21,18,49,6,0,5,0,0,0
"HSD11B1-AS1",6,16,8,14,33,40,10,8,0,0
"ENSG00000289141",2,0,0,0,6,14,26,20,6,2
"TFAP2E-AS1",0,0,0,0,0,0,0,3,2,0
"ENSG00000290094",0,0,0,0,0,0,0,0,0,0
"ENSG00000290096",0,0,0,0,0,0,1,0,0,0
"ENSG00000289062",0,0,0,0,0,0,0,0,0,0
"ENSG00000290102",0,0,0,0,0,0,0,0,0,0
"ENSG00000290105",0,0,0,0,0,0,0,0,0,0
"ENSG00000287839",0,0,0,0,3,27,14,43,33,32
"ENSG00000238164",0,0,0,0,0,0,0,0,0,0
"ENSG00000290111",0,0,0,0,0,0,0,0,0,0
"ENSG00000203706",0,0,0,0,0,0,4,0,2,10
"ENSG00000290115",8,13,1,9,18,22,14,0,0,0
"ENSG00000288934",0,0,0,0,0,0,2,6,0,0
"ENSG00000289835",0,0,0,0,0,0,0,0,0,0
"ENSG00000226822",117,63,118,211,51,46,15,0,0,0
"RRAGC-DT",0,0,0,0,0,0,0,0,0,0
"ENSG00000238279",0,0,0,0,0,0,0,0,1,0
"ENSG00000288999",0,0,0,0,2,0,8,20,0,0
"ENSG00000289439",0,0,0,0,0,0,0,0,0,0
"ANKRD13C-DT",13,9,5,14,16,42,23,66,75,93
"LINC00467",180,159,182,262,224,209,79,203,80,150
"LAMTOR5-AS1",6,6,1,26,4,0,18,13,25,12
"FOXD3-AS1",0,0,0,0,0,12,20,24,28,130
"SLC2A1-DT",0,0,0,0,0,0,0,0,10,6
"ENSG00000230623",0,0,0,0,8,0,0,0,35,28
"PIK3CD-AS2",13,0,20,0,0,0,0,0,3,18
"LOC105373170",0,0,0,0,0,0,0,0,4,4
"ENSG00000290123",0,0,0,0,0,0,2,0,0,0
"LOC112268239",0,0,0,0,0,0,2,6,1,13
"LINC01134",0,12,4,0,0,0,0,0,14,4
"ENSG00000290124",117,153,101,89,31,126,45,94,56,40
"NEK2-DT",0,0,0,0,16,6,14,16,1,2
"LINC01767",0,0,0,2,2,2,0,0,16,10
"ENSG00000282048",0,0,0,0,0,0,0,2,6,0
"LINC01702",0,0,0,0,0,0,0,0,2,0
"ENSG00000259943",12,0,14,12,10,0,32,60,0,22
"ENSG00000289576",0,0,0,0,0,0,8,0,0,0
"ENSG00000289106",6,2,7,6,0,0,0,0,0,0
"TDRKH-AS1",0,0,0,0,2,0,0,0,3,0
"WARS2-AS1",0,0,4,3,17,0,23,89,61,37
"LOC101928264",0,0,0,0,0,0,0,0,0,0
"ENSG00000290121",0,0,0,0,6,62,8,22,0,0
"ENSG00000290125",0,0,0,10,0,0,4,7,0,0
"ENSG00000224167",0,0,0,0,0,0,0,0,0,1
"LRRC52-AS1",0,0,0,0,0,0,0,0,1,2
"ELOA-AS1",20,63,34,32,7,26,50,57,39,17
"ENSG00000272145",0,0,0,0,0,0,0,10,0,2
"COA6-AS1",6,4,1,0,12,0,32,26,12,0
"SLC16A1-AS1",0,0,2,0,21,43,55,177,59,7
"ENSG00000290126",0,0,0,0,16,0,32,16,0,8
"ZNF691-DT",0,0,0,0,0,7,1,0,5,0
"DPH5-DT",38,19,6,0,20,0,22,5,12,117
"GAS5",625,1317,827,1625,1413,2356,3558,10659,4944,6749
"ENSG00000224093",0,1,0,0,0,0,8,0,4,0
"ENSG00000290127",0,0,7,0,0,0,0,0,0,0
"MIR9-1HG",10,0,0,8,16,92,24,56,143,85
"ENSG00000228084",0,0,0,0,0,0,0,0,0,0
"FLVCR1-DT",20,3,28,32,8,0,2,30,40,8
"ENSG00000230337",0,0,0,0,47,50,38,102,4,5
"ANGPTL7",0,0,0,0,0,0,0,0,0,0
"RNU6-291P",0,0,0,0,0,0,0,0,0,0
"ENSG00000238173",0,0,4,0,0,0,0,0,0,0
"UBIAD1",194,120,136,112,50,74,82,243,186,508
"ENSG00000238199",0,4,8,0,0,2,0,8,2,2
"ENSG00000284646",10,20,4,22,0,0,0,0,0,0
"MTOR",394,295,300,560,472,833,158,189,211,367
"ZNF687-AS1",6,0,0,0,0,0,1,16,1,1
"ZNF687",7,2,10,4,35,25,4,11,13,2
"PI4KB",98,155,167,95,81,153,56,171,41,54
"RN7SL444P",0,0,0,0,0,0,0,0,0,0
"ENSG00000273481",0,0,0,0,0,0,6,0,0,0
"RFX5",0,0,0,0,4,0,14,0,0,13
"ENSG00000224645",0,0,0,0,0,0,0,0,0,0
"RFX5-AS1",0,0,0,0,0,0,0,0,1,0
"SELENBP1",0,0,0,0,0,0,6,0,0,0
"PSMB4",916,1323,862,1108,670,1066,985,2322,2656,5015
"RNY4P25",0,0,0,7,0,0,0,0,0,0
"CGN",95,152,124,146,86,64,22,36,161,190
"LOC124900437",0,0,0,0,0,0,0,0,0,0
"TUFT1",24,2,32,46,75,4,55,110,115,20
"ENSG00000232536",0,0,0,0,0,0,0,0,0,0
"MIR554",0,0,0,4,4,0,7,1,1,0
"RPS10P6",0,0,0,0,0,0,6,20,20,18
"POGZ",402,626,334,449,170,126,130,173,165,212
"ENSG00000224129",0,0,0,2,0,0,2,0,8,0
"RPS6KA1",20,18,2,4,8,2,15,59,40,92
"MIR1976",0,0,0,0,0,0,0,0,0,0
"RN7SL679P",0,0,0,0,0,0,0,0,2,0
"ENSG00000252802",0,0,0,0,0,0,0,0,0,0
"LOC124904769",0,0,0,0,0,0,0,0,0,0
"ENSG00000289452",0,0,0,0,0,0,0,0,0,0
"ENSG00000229247",2,0,0,0,0,0,0,0,0,0
"RPL23AP24",2,2,3,6,8,6,3,0,2,1
"ENSG00000236601",0,0,0,0,0,0,0,0,0,0
"ENSG00000269732",0,0,0,0,0,0,0,0,0,0
"OR4F29",1,1,0,1,3,0,2,0,0,0
"ENSG00000233653",0,0,0,0,0,0,0,0,1,1
"ENSG00000250575",0,0,0,0,0,0,0,0,0,0
