"","zygote_r1","zygote_r2","twoC_r1","twoC_r2","fourC_r1","fourC_r2","eightC_r1","eightC_r2","ICM_r1","ICM_r2"
"ENSG00000227527",4,0,0,0,0,0,0,4,0,0
"ENSG00000116954",566,610,400,258,57,143,72,148,94,182
"ENSG00000228589",81,78,55,64,36,37,34,17,37,68
"ENSG00000163873",0,3,0,2,0,0,1,0,5,0
"ENSG00000117215",0,0,0,0,0,0,0,0,0,2
"ENSG00000196449",4,18,2,4,18,0,733,1468,203,187
"ENSG00000230163",0,0,0,0,0,0,0,0,0,0
"ENSG00000227538",5,0,1,0,0,0,0,0,0,2
"ENSG00000236500",0,0,0,0,2,0,0,0,2,0
"ENSG00000044012",0,0,0,0,0,0,0,0,0,0
"ENSG00000179051",141,345,286,335,216,78,97,207,289,401
"ENSG00000215895",2,12,0,4,6,36,32,66,32,20
"ENSG00000284650",0,0,0,0,0,0,0,0,0,0
"ENSG00000237329",0,0,0,0,0,0,0,0,2,2
"ENSG00000236948",0,0,0,0,0,0,0,0,1,0
"ENSG00000126067",2083,2300,2560,2328,1046,1062,3056,6493,3229,4535
"ENSG00000274944",0,0,0,0,0,0,0,0,0,0
"ENSG00000132906",64,114,56,112,38,0,6,0,4,94
"ENSG00000197312",153,284,246,166,81,235,112,273,184,173
"ENSG00000284748",0,0,0,0,0,0,0,3,2,0
"ENSG00000272078",0,0,0,0,0,20,0,2,0,0
"ENSG00000173660",656,787,850,762,594,789,4138,7554,16095,14361
"ENSG00000224592",0,0,0,0,0,0,0,0,1,0
"ENSG00000233728",0,0,0,0,0,0,0,0,0,0
"ENSG00000230451",0,0,0,0,0,0,0,0,0,0
"ENSG00000231606",0,0,0,0,0,0,0,0,0,0
"ENSG00000215900",0,0,0,0,0,0,0,0,0,0
"ENSG00000284632",0,0,0,0,0,0,3,0,0,1
"ENSG00000241014",0,0,0,0,0,0,0,0,0,0
"ENSG00000054118",142,530,285,332,103,385,277,761,1100,1155
"ENSG00000254553",0,1,0,8,1,0,0,1,0,0
"ENSG00000284653",0,0,0,4,0,0,0,0,0,0
"ENSG00000237749",54,32,40,66,52,82,134,180,92,50
"ENSG00000276747",742,1237,1220,1720,1028,1166,342,314,0,0
"ENSG00000284705",0,0,0,0,0,0,0,0,0,0
"ENSG00000228776",0,0,0,0,0,0,0,0,0,0
"ENSG00000159339",0,0,0,0,0,0,0,0,2,1
"ENSG00000197982",6,12,6,15,19,0,57,103,122,148
"ENSG00000261781",0,0,0,0,0,0,0,0,0,0
"ENSG00000183317",0,10,2,12,8,4,0,46,7,0
"ENSG00000183386",0,0,14,12,4,0,0,0,68,50
"ENSG00000284743",0,0,0,0,0,0,0,0,0,0
"ENSG00000158315",16,8,10,73,12,0,20,32,0,0
"ENSG00000204084",47,66,64,111,24,8,3,22,17,17
"ENSG00000186973",0,0,0,2,0,0,6,17,0,0
"ENSG00000146463",391,589,470,654,457,1199,183,117,298,300
"ENSG00000183520",2415,3426,2324,3494,1712,1603,3109,4658,826,1100
"ENSG00000271741",0,0,0,0,0,0,0,0,0,0
"ENSG00000214141",0,0,0,0,0,0,0,0,2,0
"ENSG00000142686",0,0,6,0,4,0,20,0,8,0
"ENSG00000224751",0,0,0,0,0,0,0,0,0,0
"ENSG00000117148",4117,6329,6284,7552,3948,3310,1530,1626,0,2
"ENSG00000230585",0,0,11,21,0,0,0,0,0,0
"ENSG00000117000",1170,2166,1384,2178,1173,2814,539,1586,327,416
"ENSG00000284989",0,0,0,0,0,0,0,0,0,0
"ENSG00000231630",0,0,0,0,0,0,0,0,0,0
"ENSG00000092853",1188,1502,1512,2031,1487,1415,1060,1141,358,555
"ENSG00000255811",0,0,0,0,0,0,0,0,0,0
"ENSG00000134697",300,237,366,517,242,612,383,990,517,715
"ENSG00000187513",0,2,0,0,2,0,5,0,2,0
"ENSG00000238145",0,0,0,0,0,0,0,0,0,0
"ENSG00000225142",0,0,0,0,0,0,0,0,0,2
"ENSG00000230138",0,0,0,0,0,0,0,0,0,0
"ENSG00000223390",0,0,0,0,0,0,0,0,0,0
"ENSG00000284720",0,0,0,0,6,118,4,17,0,0
"ENSG00000225671",0,0,0,2,0,0,0,2,0,0
"ENSG00000116151",2,8,4,14,8,7,6,12,9,4
"ENSG00000226147",0,0,0,0,0,0,0,0,0,0
"ENSG00000006555",0,0,0,0,0,0,0,0,12,2
"ENSG00000236111",0,4,0,0,4,2,4,10,8,8
"ENSG00000066056",0,0,0,0,0,0,0,0,5,6
"ENSG00000214114",767,882,701,504,279,147,216,538,445,410
"ENSG00000116544",0,0,0,0,0,25,0,0,9,2
"ENSG00000231900",2,0,0,0,0,0,0,0,0,0
"ENSG00000236723",0,0,0,0,0,0,0,0,0,0
"ENSG00000232467",0,0,2,0,0,0,2,0,0,0
"ENSG00000117016",2,4,8,2,14,24,0,2,2,6
"ENSG00000121310",18,52,32,18,6,0,17,30,134,187
"ENSG00000169213",0,0,0,0,0,0,0,0,536,747
"ENSG00000163866",14,74,8,78,36,90,125,120,448,760
"ENSG00000225779",0,0,0,0,0,0,0,0,2,0
"ENSG00000284601",7,10,32,5,26,11,2,0,0,0
"ENSG00000237130",0,0,0,0,0,0,0,0,10,0
"ENSG00000143001",12,36,12,26,1,1,2,36,1,0
"ENSG00000227416",0,0,0,0,0,0,0,1,0,0
"ENSG00000232335",0,0,0,0,0,0,0,0,0,0
"ENSG00000260971",87,106,101,155,59,25,24,14,6,0
"ENSG00000259832",0,0,0,0,0,0,0,0,0,0
"ENSG00000284696",0,0,0,6,4,0,0,0,1,0
"ENSG00000238242",0,0,0,0,0,0,0,3,0,0
"ENSG00000285839",0,0,0,0,0,0,0,0,0,0
"ENSG00000237290",0,0,0,0,0,0,0,0,0,0
"ENSG00000232762",0,0,0,0,0,0,0,0,0,0
"ENSG00000117419",26,22,28,42,28,72,2,3,228,46
"ENSG00000162384",140,179,202,290,169,72,44,46,221,279
"ENSG00000162391",0,0,0,0,4,0,67,95,357,162
"ENSG00000174348",0,0,0,0,0,0,0,0,14,0
"ENSG00000117859",1330,1520,2076,1420,1632,1084,450,645,727,692
"ENSG00000228121",6,0,0,0,0,0,0,0,4,14
"ENSG00000253313",303,312,319,158,128,74,32,12,12,0
"ENSG00000162396",128,136,120,108,66,50,18,0,2,60
"ENSG00000203995",150,139,205,187,141,1,70,23,232,93
"ENSG00000284686",0,0,2,6,3,0,27,24,3,2
"ENSG00000162378",0,38,10,0,4,10,42,30,140,130
"ENSG00000233079",28,36,86,0,14,0,14,0,0,0
"ENSG00000259818",2,12,0,24,0,0,12,6,4,4
"ENSG00000229444",0,0,0,0,0,0,8,1,0,0
"ENSG00000240563",10,28,34,48,34,22,464,284,3678,2277
"ENSG00000234318",0,1,0,0,0,0,0,0,0,0
"ENSG00000284773",0,0,0,0,0,0,0,0,2,0
"ENSG00000234481",0,0,0,0,2,0,0,0,0,0
"ENSG00000117862",9,16,22,18,13,27,3,33,181,199
"ENSG00000235612",3,9,0,0,0,0,0,0,0,0
"ENSG00000228369",0,0,0,0,0,0,0,0,0,0
"ENSG00000183431",4903,9860,6306,11580,4745,9978,2366,5340,1141,1888
"ENSG00000227485",0,0,0,0,0,0,0,0,0,0
"ENSG00000224609",0,19,6,0,2,4,26,2,2,0
"ENSG00000235545",0,0,0,0,0,0,0,0,2,0
"ENSG00000236646",0,0,0,0,0,0,4,0,4,0
"ENSG00000232198",0,0,0,0,0,0,0,0,1,0
"ENSG00000238063",0,0,0,0,0,0,0,0,1,1
"ENSG00000227104",0,0,0,0,0,0,0,0,0,0
"ENSG00000243725",5,19,9,7,2,26,5,8,0,11
"ENSG00000171872",0,0,0,4,92,108,1043,1913,34,54
"ENSG00000162407",0,12,0,65,0,2,1,0,178,318
"ENSG00000285079",91,145,106,237,117,189,8,41,2,2
"ENSG00000169218",0,0,0,0,0,0,0,0,0,0
"ENSG00000163877",194,274,152,267,118,103,262,482,119,112
"ENSG00000228929",100,94,136,144,130,82,220,350,178,102
"ENSG00000224570",0,0,0,0,0,0,0,0,0,0
"ENSG00000224980",0,0,0,0,0,0,0,0,2,0
"ENSG00000278967",0,0,0,0,0,0,0,0,0,0
"ENSG00000157184",6,8,23,15,10,34,0,12,8,12
"ENSG00000198815",850,1404,1297,1482,1015,688,374,1042,183,243
"ENSG00000134744",12,78,54,18,56,131,69,413,186,189
"ENSG00000233910",0,0,0,0,0,0,0,0,0,0
"ENSG00000287703",0,0,0,0,0,0,0,0,0,0
"ENSG00000283039",0,0,0,21,198,353,106,12,2,0
"ENSG00000229032",0,0,0,0,0,0,0,0,2,0
"ENSG00000229294",0,0,0,0,0,0,0,0,2,0
"ENSG00000232993",0,0,0,0,0,0,0,0,0,0
"ENSG00000234088",0,0,0,0,0,0,0,0,0,0
"ENSG00000236973",0,0,0,0,0,0,0,0,2,0
"ENSG00000277397",0,0,0,0,0,0,0,0,2,2
"ENSG00000271200",0,0,0,0,0,0,0,0,2,0
"ENSG00000235446",0,0,0,0,0,0,0,0,0,0
"ENSG00000261196",0,0,0,0,0,0,0,0,0,0
"ENSG00000162385",2426,3115,3873,4528,3239,2168,2412,2608,674,434
"ENSG00000234264",0,0,0,0,0,0,0,2,2,0
"ENSG00000242391",0,0,0,0,0,0,0,0,1,6
"ENSG00000223883",2,0,5,0,9,0,0,0,0,1
"ENSG00000284808",0,0,0,0,0,2,0,0,1,0
"ENSG00000237227",0,0,0,0,0,0,0,0,0,0
"ENSG00000275350",0,0,0,0,0,0,0,0,0,0
"ENSG00000116652",0,0,0,0,0,0,1,0,2,0
"ENSG00000123080",0,0,0,8,0,0,10,8,11,0
"ENSG00000285778",0,0,0,0,0,10,0,0,2,0
"ENSG00000233407",0,0,0,0,0,0,0,0,0,0
"ENSG00000225675",0,0,0,0,0,0,0,0,0,0
"ENSG00000237622",0,0,0,0,0,0,0,0,0,0
"ENSG00000162598",0,0,2,0,2,0,0,2,1,3
"ENSG00000280317",0,0,0,0,0,0,0,0,0,10
"ENSG00000162415",7,1,4,0,9,0,0,0,9,16
"ENSG00000162600",65,155,117,111,24,9,91,99,281,134
"ENSG00000116704",2135,3842,2357,3066,1728,2066,393,300,28,22
"ENSG00000227644",0,0,0,0,0,0,0,0,0,0
"ENSG00000157193",7,2,9,8,1,4,0,2,16,45
"ENSG00000116205",44,60,54,53,59,2,207,224,59,84
"ENSG00000198841",0,9,10,0,0,0,61,95,127,140
"ENSG00000116212",312,266,404,292,345,298,130,47,64,148
"ENSG00000234204",0,0,0,0,0,0,0,0,1,0
"ENSG00000233099",0,0,0,0,0,0,0,0,0,0
"ENSG00000233994",12,10,20,26,6,30,9,4,4,0
"ENSG00000233973",3,27,0,0,0,0,5,0,0,14
"ENSG00000237552",0,0,0,0,0,0,0,6,2,0
"ENSG00000132854",0,0,0,0,0,0,0,4,38,68
"ENSG00000227556",0,0,0,0,0,0,0,0,0,0
"ENSG00000162607",3058,3086,3254,2067,969,2666,2502,4477,699,702
"ENSG00000233602",0,0,0,0,0,0,0,0,0,0
"ENSG00000233271",0,0,0,0,0,0,0,0,0,0
"ENSG00000285954",0,0,0,0,0,0,0,0,0,0
"ENSG00000233333",0,0,0,0,0,0,0,0,0,8
"ENSG00000154027",222,360,268,272,228,380,53,58,65,30
"ENSG00000234108",0,0,0,0,0,0,0,0,0,2
"ENSG00000232676",0,0,2,0,3,0,2,0,2,0
"ENSG00000225167",0,0,0,0,0,0,0,0,0,6
"ENSG00000213579",0,0,0,0,0,0,0,0,0,0
"ENSG00000137960",306,642,434,434,174,414,42,147,39,83
"ENSG00000237852",0,0,0,0,0,0,4,0,2,4
"ENSG00000116745",4,18,4,10,2,0,4,2,2,0
"ENSG00000132855",0,0,0,0,0,0,0,0,4,47
"ENSG00000285407",0,0,0,0,2,0,0,0,12,12
"ENSG00000272855",0,0,0,0,0,0,0,0,0,0
"ENSG00000270549",0,0,0,0,0,0,0,0,0,0
"ENSG00000237163",0,0,0,0,0,0,3,0,0,0
"ENSG00000229636",0,0,0,0,0,0,0,0,4,0
"ENSG00000116675",66,95,114,76,127,0,16,0,98,86
"ENSG00000162433",406,334,418,406,225,288,112,342,4073,3567
"ENSG00000213625",281,384,221,362,179,165,6,70,245,291
"ENSG00000227207",0,0,0,0,0,0,0,0,0,0
"ENSG00000227016",0,0,0,0,3,0,0,0,0,6
"ENSG00000233664",0,0,0,0,0,0,0,0,4,0
"ENSG00000158966",12,26,2,0,12,0,0,13,185,139
"ENSG00000213703",0,0,0,0,0,0,1,0,0,0
"ENSG00000203965",639,786,951,757,394,52,108,274,44,43
"ENSG00000223479",0,0,0,0,0,0,13,0,0,0
"ENSG00000233674",0,0,0,0,0,0,0,0,0,0
"ENSG00000153898",78,116,106,132,92,184,4,0,0,37
"ENSG00000117069",10,0,26,29,6,0,0,0,0,12
"ENSG00000125703",992,1656,1219,884,425,326,87,456,218,278
"ENSG00000285041",0,0,0,0,4,0,0,0,0,0
"ENSG00000285808",0,0,0,0,4,0,0,0,0,1
"ENSG00000229440",0,0,0,0,0,0,0,0,0,0
"ENSG00000234144",0,0,0,0,0,0,0,0,2,0
"ENSG00000213540",0,0,0,0,0,0,0,11,0,0
"ENSG00000277670",0,0,0,0,0,0,0,0,2,1
"ENSG00000227466",0,0,0,0,0,0,0,0,0,0
"ENSG00000154007",0,0,0,0,0,0,0,0,0,0
"ENSG00000230498",0,0,0,0,0,0,0,0,0,0
"ENSG00000285782",7,0,0,0,4,13,2,0,0,0
"ENSG00000162618",0,0,0,0,1,23,8,0,2,0
"ENSG00000224493",0,0,0,0,0,0,0,0,0,0
"ENSG00000131233",0,0,0,0,0,0,0,0,0,0
"ENSG00000272371",0,0,0,0,0,0,0,0,0,0
"ENSG00000287647",0,0,0,5,0,0,8,0,4,0
"ENSG00000229225",0,0,0,0,0,0,0,0,0,0
"ENSG00000230863",320,278,493,234,169,154,32,141,2,2
"ENSG00000287224",6,22,14,0,4,0,0,0,0,0
"ENSG00000225598",0,0,0,0,0,0,0,0,0,0
"ENSG00000286455",0,0,0,0,0,0,0,0,0,2
"ENSG00000225087",0,2,2,0,0,0,0,0,2,8
"ENSG00000280378",0,0,0,0,0,0,0,6,4,0
"ENSG00000188786",186,168,272,323,118,56,117,389,62,30
"ENSG00000230053",0,0,0,0,0,0,0,0,0,0
"ENSG00000137941",0,0,0,0,0,0,29,52,10,20
"ENSG00000224326",8,0,2,0,1,0,0,0,0,0
"ENSG00000286548",0,2,2,3,7,0,0,0,1,2
"ENSG00000066135",75,104,78,114,65,81,48,72,15,29
"ENSG00000230027",8,4,0,6,4,0,2,1,0,0
"ENSG00000233061",0,0,0,0,0,0,11,1,2,0
"ENSG00000272094",0,0,0,0,33,0,2,11,0,0
"ENSG00000228853",0,0,0,0,0,0,0,0,0,1
"ENSG00000215874",0,0,0,0,0,0,0,0,0,0
"ENSG00000232453",0,0,0,0,0,0,0,0,2,1
"ENSG00000260386",0,0,0,0,0,0,0,2,6,2
"ENSG00000284895",0,0,0,0,0,0,0,0,0,0
"ENSG00000117174",168,190,196,214,245,348,971,1865,276,299
"ENSG00000237413",0,0,0,0,13,13,31,75,0,0
"ENSG00000184313",0,0,0,10,0,0,0,0,1,0
"ENSG00000284645",0,0,0,0,0,0,0,0,0,0
"ENSG00000225605",0,0,0,0,0,0,0,0,0,0
"ENSG00000225446",6,11,4,0,2,0,0,0,0,0
"ENSG00000288543",0,0,0,0,0,0,0,1,0,0
"ENSG00000122420",0,0,0,0,2,0,7,2,1,0
"ENSG00000284240",0,0,0,0,12,0,0,2,2,1
"ENSG00000236290",0,0,0,0,72,101,89,8,0,0
"ENSG00000143013",335,237,159,183,179,144,133,244,302,215
"ENSG00000226084",4,10,6,4,2,6,64,96,266,130
"ENSG00000134748",608,1066,1158,1256,878,1260,3565,8446,1039,1481
"ENSG00000142892",284,278,263,297,261,66,196,102,539,316
"ENSG00000219102",0,0,0,0,0,0,0,0,0,0
"ENSG00000184005",128,218,147,128,44,126,50,8,50,11
"ENSG00000230953",0,0,0,0,0,0,0,0,14,0
"ENSG00000287743",2,0,3,0,4,0,0,0,2,0
"ENSG00000229332",0,0,0,0,3,0,0,0,0,0
"ENSG00000227937",0,0,0,0,0,0,0,0,0,0
"ENSG00000229752",4,2,0,4,2,0,10,14,6,6
"ENSG00000237505",11,7,4,0,4,0,12,0,5,4
"ENSG00000285462",0,0,0,0,0,2,0,0,0,0
"ENSG00000233216",0,0,0,0,0,0,0,0,0,0
"ENSG00000197273",0,0,0,0,0,0,0,0,2,0
"ENSG00000226804",0,0,0,0,2,0,0,34,0,0
"ENSG00000230728",0,0,0,0,0,0,0,0,6,0
"ENSG00000232846",0,0,0,0,0,0,0,0,0,0
"ENSG00000230787",0,0,0,0,0,0,0,0,0,6
"ENSG00000116641",285,185,220,441,186,325,154,444,198,356
"ENSG00000223920",0,0,0,0,0,0,0,0,0,0
"ENSG00000237453",0,0,0,0,0,0,0,0,0,0
"ENSG00000172260",108,139,96,207,136,90,21,10,0,0
"ENSG00000285473",0,0,0,0,0,0,0,0,0,1
"ENSG00000237959",0,0,0,0,0,0,0,0,0,0
"ENSG00000231364",117,188,66,187,63,68,8,21,0,0
"ENSG00000234578",0,0,0,0,0,0,0,0,0,0
"ENSG00000117480",0,0,0,13,0,29,0,4,11,14
"ENSG00000137944",41,142,69,132,32,104,24,85,287,213
"ENSG00000229505",0,0,0,0,0,0,0,0,0,0
"ENSG00000228187",0,0,0,0,0,0,0,0,0,0
"ENSG00000285201",2,0,0,0,4,0,42,0,0,0
"ENSG00000182183",0,0,0,0,0,0,7,0,2,0
"ENSG00000236407",0,0,0,0,0,0,14,0,0,0
"ENSG00000271949",0,0,0,0,0,0,0,0,0,0
"ENSG00000227062",0,0,0,0,0,0,0,0,0,0
"ENSG00000067334",2280,3830,2434,2820,1034,2012,3429,7628,1704,2417
"ENSG00000235011",0,0,0,0,0,0,0,0,0,0
